date,marketValue,traceName
2017-01-03,81268304,Chemicals and Pertochemicals
2017-01-03,81268304,Chemicals and Pertochemicals
2017-01-03,81268304,Chemicals and Pertochemicals
2017-01-04,55951202.05,Chemicals and Pertochemicals
2017-01-05,66983487,Chemicals and Pertochemicals
2017-01-06,42583190.7,Chemicals and Pertochemicals
2017-01-09,47016490,Chemicals and Pertochemicals
2017-01-09,47016490,Chemicals and Pertochemicals
2017-01-09,47016490,Chemicals and Pertochemicals
2017-01-10,67873235.21,Chemicals and Pertochemicals
2017-01-11,143161580.1,Chemicals and Pertochemicals
2017-01-12,239392344.9,Chemicals and Pertochemicals
2017-01-13,155419658.5,Chemicals and Pertochemicals
2017-01-16,207083567.0,Chemicals and Pertochemicals
2017-01-16,207083567.0,Chemicals and Pertochemicals
2017-01-16,207083567.0,Chemicals and Pertochemicals
2017-01-17,187655284.3,Chemicals and Pertochemicals
2017-01-18,232971819.7,Chemicals and Pertochemicals
2017-01-19,125438554.5,Chemicals and Pertochemicals
2017-01-20,183820506,Chemicals and Pertochemicals
2017-01-23,166344242.7,Chemicals and Pertochemicals
2017-01-23,166344242.7,Chemicals and Pertochemicals
2017-01-23,166344242.7,Chemicals and Pertochemicals
2017-01-24,94902076.71000001,Chemicals and Pertochemicals
2017-01-25,218316198.3,Chemicals and Pertochemicals
2017-01-26,131869488.75,Chemicals and Pertochemicals
2017-01-27,155054981,Chemicals and Pertochemicals
2017-01-30,120220060.5,Chemicals and Pertochemicals
2017-01-30,120220060.5,Chemicals and Pertochemicals
2017-01-30,120220060.5,Chemicals and Pertochemicals
2017-01-31,179944966.11,Chemicals and Pertochemicals
2017-02-01,112936183.7,Chemicals and Pertochemicals
2017-02-02,147026271.1,Chemicals and Pertochemicals
2017-02-03,112918478.61,Chemicals and Pertochemicals
2017-02-06,117132945.15,Chemicals and Pertochemicals
2017-02-06,117132945.15,Chemicals and Pertochemicals
2017-02-06,117132945.15,Chemicals and Pertochemicals
2017-02-07,136461035.95,Chemicals and Pertochemicals
2017-02-08,196862085.66,Chemicals and Pertochemicals
2017-02-09,2047321022.9,Chemicals and Pertochemicals
2017-02-10,282185946.61,Chemicals and Pertochemicals
2017-02-13,175864207.49,Chemicals and Pertochemicals
2017-02-13,175864207.49,Chemicals and Pertochemicals
2017-02-13,175864207.49,Chemicals and Pertochemicals
2017-02-14,330723929.0,Chemicals and Pertochemicals
2017-02-15,243308424.0,Chemicals and Pertochemicals
2017-02-16,153318212.81,Chemicals and Pertochemicals
2017-02-17,218494207.29999998,Chemicals and Pertochemicals
2017-02-20,347619956.5,Chemicals and Pertochemicals
2017-02-20,347619956.5,Chemicals and Pertochemicals
2017-02-20,347619956.5,Chemicals and Pertochemicals
2017-02-21,333148512.2,Chemicals and Pertochemicals
2017-02-22,329555757.2,Chemicals and Pertochemicals
2017-02-24,133103887.5,Chemicals and Pertochemicals
2017-02-24,133103887.5,Chemicals and Pertochemicals
2017-02-27,230139940.9,Chemicals and Pertochemicals
2017-02-27,230139940.9,Chemicals and Pertochemicals
2017-02-27,230139940.9,Chemicals and Pertochemicals
2017-02-28,599219979.1,Chemicals and Pertochemicals
2017-03-01,239617044.65,Chemicals and Pertochemicals
2017-03-02,223445043.9,Chemicals and Pertochemicals
2017-03-03,375752055.4,Chemicals and Pertochemicals
2017-03-06,92698387.69999999,Chemicals and Pertochemicals
2017-03-06,92698387.69999999,Chemicals and Pertochemicals
2017-03-06,92698387.69999999,Chemicals and Pertochemicals
2017-03-07,159708715,Chemicals and Pertochemicals
2017-03-09,682589440.9,Chemicals and Pertochemicals
2017-03-09,682589440.9,Chemicals and Pertochemicals
2017-03-10,394147429.77,Chemicals and Pertochemicals
2017-03-13,201710575.26,Chemicals and Pertochemicals
2017-03-13,201710575.26,Chemicals and Pertochemicals
2017-03-13,201710575.26,Chemicals and Pertochemicals
2017-03-14,298002283,Chemicals and Pertochemicals
2017-03-15,196499501.6,Chemicals and Pertochemicals
2017-03-16,235935686,Chemicals and Pertochemicals
2017-03-17,161693786.05,Chemicals and Pertochemicals
2017-03-20,109369835.85,Chemicals and Pertochemicals
2017-03-20,109369835.85,Chemicals and Pertochemicals
2017-03-20,109369835.85,Chemicals and Pertochemicals
2017-03-21,135766363.65,Chemicals and Pertochemicals
2017-03-22,156188029,Chemicals and Pertochemicals
2017-03-23,64399535.830000006,Chemicals and Pertochemicals
2017-03-24,67375362.5,Chemicals and Pertochemicals
2017-03-27,544959958.5,Chemicals and Pertochemicals
2017-03-27,544959958.5,Chemicals and Pertochemicals
2017-03-27,544959958.5,Chemicals and Pertochemicals
2017-03-28,212137510.6,Chemicals and Pertochemicals
2017-03-29,209814627.8,Chemicals and Pertochemicals
2017-03-30,99389298.2,Chemicals and Pertochemicals
2017-03-31,78827764,Chemicals and Pertochemicals
2017-04-03,116366679.98,Chemicals and Pertochemicals
2017-04-03,116366679.98,Chemicals and Pertochemicals
2017-04-03,116366679.98,Chemicals and Pertochemicals
2017-04-04,86031515.5,Chemicals and Pertochemicals
2017-04-05,132470981,Chemicals and Pertochemicals
2017-04-06,100895248,Chemicals and Pertochemicals
2017-04-07,105659147.60000001,Chemicals and Pertochemicals
2017-04-10,170740210.4,Chemicals and Pertochemicals
2017-04-10,170740210.4,Chemicals and Pertochemicals
2017-04-10,170740210.4,Chemicals and Pertochemicals
2017-04-11,127815828.5,Chemicals and Pertochemicals
2017-04-12,166891076.5,Chemicals and Pertochemicals
2017-04-13,219587609.8,Chemicals and Pertochemicals
2017-04-14,31789099.9,Chemicals and Pertochemicals
2017-04-17,74699970.5,Chemicals and Pertochemicals
2017-04-17,74699970.5,Chemicals and Pertochemicals
2017-04-17,74699970.5,Chemicals and Pertochemicals
2017-04-18,189702293.6,Chemicals and Pertochemicals
2017-04-19,147366214,Chemicals and Pertochemicals
2017-04-20,199616537.5,Chemicals and Pertochemicals
2017-04-21,113754866.5,Chemicals and Pertochemicals
2017-04-24,177829136,Chemicals and Pertochemicals
2017-04-24,177829136,Chemicals and Pertochemicals
2017-04-24,177829136,Chemicals and Pertochemicals
2017-04-25,181580576.1,Chemicals and Pertochemicals
2017-04-26,197740687.2,Chemicals and Pertochemicals
2017-04-27,180358657.5,Chemicals and Pertochemicals
2017-04-28,188671741.4,Chemicals and Pertochemicals
2017-05-02,210842384.2,Chemicals and Pertochemicals
2017-05-02,210842384.2,Chemicals and Pertochemicals
2017-05-02,210842384.2,Chemicals and Pertochemicals
2017-05-02,210842384.2,Chemicals and Pertochemicals
2017-05-03,101279327,Chemicals and Pertochemicals
2017-05-04,105232509.5,Chemicals and Pertochemicals
2017-05-05,223806961,Chemicals and Pertochemicals
2017-05-10,219445851.75,Chemicals and Pertochemicals
2017-05-10,219445851.75,Chemicals and Pertochemicals
2017-05-10,219445851.75,Chemicals and Pertochemicals
2017-05-10,219445851.75,Chemicals and Pertochemicals
2017-05-10,219445851.75,Chemicals and Pertochemicals
2017-05-11,195088160.79000002,Chemicals and Pertochemicals
2017-05-12,99639423.8,Chemicals and Pertochemicals
2017-05-15,166272341,Chemicals and Pertochemicals
2017-05-15,166272341,Chemicals and Pertochemicals
2017-05-15,166272341,Chemicals and Pertochemicals
2017-05-16,129487033.2,Chemicals and Pertochemicals
2017-05-17,177712252.4,Chemicals and Pertochemicals
2017-05-18,171359638,Chemicals and Pertochemicals
2017-05-19,221014058,Chemicals and Pertochemicals
2017-05-22,159377453.45,Chemicals and Pertochemicals
2017-05-22,159377453.45,Chemicals and Pertochemicals
2017-05-22,159377453.45,Chemicals and Pertochemicals
2017-05-23,179544863.7,Chemicals and Pertochemicals
2017-05-24,75353756.42,Chemicals and Pertochemicals
2017-05-25,95710375,Chemicals and Pertochemicals
2017-05-26,167324223.46,Chemicals and Pertochemicals
2017-05-29,96121336.8,Chemicals and Pertochemicals
2017-05-29,96121336.8,Chemicals and Pertochemicals
2017-05-29,96121336.8,Chemicals and Pertochemicals
2017-05-30,164454098.46,Chemicals and Pertochemicals
2017-05-31,338725123.04999995,Chemicals and Pertochemicals
2017-06-01,206933649.5,Chemicals and Pertochemicals
2017-06-02,253967240.95,Chemicals and Pertochemicals
2017-06-05,116624813,Chemicals and Pertochemicals
2017-06-05,116624813,Chemicals and Pertochemicals
