date,marketValue,traceName
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-06,583033785.4100001,Chemicals and Pertochemicals
2014-01-08,438089073.81,Chemicals and Pertochemicals
2014-01-08,438089073.81,Chemicals and Pertochemicals
2014-01-09,270302397.07,Chemicals and Pertochemicals
2014-01-10,377644497.53999996,Chemicals and Pertochemicals
2014-01-13,280279829.98,Chemicals and Pertochemicals
2014-01-13,280279829.98,Chemicals and Pertochemicals
2014-01-13,280279829.98,Chemicals and Pertochemicals
2014-01-14,484087855.07,Chemicals and Pertochemicals
2014-01-15,3226002102.36,Chemicals and Pertochemicals
2014-01-16,2232713507.64,Chemicals and Pertochemicals
2014-01-17,2437817754.52,Chemicals and Pertochemicals
2014-01-20,1140884160.96,Chemicals and Pertochemicals
2014-01-20,1140884160.96,Chemicals and Pertochemicals
2014-01-20,1140884160.96,Chemicals and Pertochemicals
2014-01-21,802878315.5200001,Chemicals and Pertochemicals
2014-01-22,720295627.39,Chemicals and Pertochemicals
2014-01-23,743248874.6400001,Chemicals and Pertochemicals
2014-01-24,979257434.14,Chemicals and Pertochemicals
2014-01-27,1449375804.3,Chemicals and Pertochemicals
2014-01-27,1449375804.3,Chemicals and Pertochemicals
2014-01-27,1449375804.3,Chemicals and Pertochemicals
2014-01-28,1323985896.3200002,Chemicals and Pertochemicals
2014-01-29,1208854504.51,Chemicals and Pertochemicals
2014-01-30,1314107223.52,Chemicals and Pertochemicals
2014-01-31,838577837.5999999,Chemicals and Pertochemicals
2014-02-03,899938674.0200001,Chemicals and Pertochemicals
2014-02-03,899938674.0200001,Chemicals and Pertochemicals
2014-02-03,899938674.0200001,Chemicals and Pertochemicals
2014-02-04,770094441.6700001,Chemicals and Pertochemicals
2014-02-05,672868487.82,Chemicals and Pertochemicals
2014-02-06,393713641.46,Chemicals and Pertochemicals
2014-02-07,383213767.17999995,Chemicals and Pertochemicals
2014-02-10,445164541.64000005,Chemicals and Pertochemicals
2014-02-10,445164541.64000005,Chemicals and Pertochemicals
2014-02-10,445164541.64000005,Chemicals and Pertochemicals
2014-02-11,308789412.25,Chemicals and Pertochemicals
2014-02-12,390107782.28000003,Chemicals and Pertochemicals
2014-02-13,741819979.39,Chemicals and Pertochemicals
2014-02-14,493829414.13,Chemicals and Pertochemicals
2014-02-17,541524857.3000001,Chemicals and Pertochemicals
2014-02-17,541524857.3000001,Chemicals and Pertochemicals
2014-02-17,541524857.3000001,Chemicals and Pertochemicals
2014-02-18,585976694.4000001,Chemicals and Pertochemicals
2014-02-19,456735015.37,Chemicals and Pertochemicals
2014-02-20,509103935.53,Chemicals and Pertochemicals
2014-02-21,371740836.8,Chemicals and Pertochemicals
2014-02-24,310400948.69000006,Chemicals and Pertochemicals
2014-02-24,310400948.69000006,Chemicals and Pertochemicals
2014-02-24,310400948.69000006,Chemicals and Pertochemicals
2014-02-25,336647520.79999995,Chemicals and Pertochemicals
2014-02-26,403645447.55,Chemicals and Pertochemicals
2014-02-27,624097431.9300001,Chemicals and Pertochemicals
2014-02-28,519606843.65,Chemicals and Pertochemicals
2014-03-03,1845508465.21,Chemicals and Pertochemicals
2014-03-03,1845508465.21,Chemicals and Pertochemicals
2014-03-03,1845508465.21,Chemicals and Pertochemicals
2014-03-04,1066593067.82,Chemicals and Pertochemicals
2014-03-05,769760699.61,Chemicals and Pertochemicals
2014-03-06,1599940029.3,Chemicals and Pertochemicals
2014-03-07,1261509194.05,Chemicals and Pertochemicals
2014-03-11,637404891.49,Chemicals and Pertochemicals
2014-03-11,637404891.49,Chemicals and Pertochemicals
2014-03-11,637404891.49,Chemicals and Pertochemicals
2014-03-11,637404891.49,Chemicals and Pertochemicals
2014-03-12,646902287.6500001,Chemicals and Pertochemicals
2014-03-13,550405948.64,Chemicals and Pertochemicals
2014-03-14,1235901341.2499998,Chemicals and Pertochemicals
2014-03-17,1668754000.27,Chemicals and Pertochemicals
2014-03-17,1668754000.27,Chemicals and Pertochemicals
2014-03-17,1668754000.27,Chemicals and Pertochemicals
2014-03-18,1094855866.79,Chemicals and Pertochemicals
2014-03-19,733300228.76,Chemicals and Pertochemicals
2014-03-20,481558885.59999996,Chemicals and Pertochemicals
2014-03-21,1279009085.92,Chemicals and Pertochemicals
2014-03-24,721547144.8900001,Chemicals and Pertochemicals
2014-03-24,721547144.8900001,Chemicals and Pertochemicals
2014-03-24,721547144.8900001,Chemicals and Pertochemicals
2014-03-25,1097849806.4299998,Chemicals and Pertochemicals
2014-03-26,817741885.13,Chemicals and Pertochemicals
2014-03-27,558940722.8000001,Chemicals and Pertochemicals
2014-03-28,664695394.68,Chemicals and Pertochemicals
2014-03-31,545147400.22,Chemicals and Pertochemicals
2014-03-31,545147400.22,Chemicals and Pertochemicals
2014-03-31,545147400.22,Chemicals and Pertochemicals
2014-04-01,1012220656.99,Chemicals and Pertochemicals
2014-04-02,563166825.13,Chemicals and Pertochemicals
2014-04-03,413283490.24,Chemicals and Pertochemicals
2014-04-04,364653055.01,Chemicals and Pertochemicals
2014-04-07,714562410.38,Chemicals and Pertochemicals
2014-04-07,714562410.38,Chemicals and Pertochemicals
2014-04-07,714562410.38,Chemicals and Pertochemicals
2014-04-08,514238433.02,Chemicals and Pertochemicals
2014-04-09,383615914.43,Chemicals and Pertochemicals
2014-04-10,591597398.9300001,Chemicals and Pertochemicals
2014-04-11,367807437.73,Chemicals and Pertochemicals
2014-04-14,352443345.05,Chemicals and Pertochemicals
2014-04-14,352443345.05,Chemicals and Pertochemicals
2014-04-14,352443345.05,Chemicals and Pertochemicals
2014-04-15,452693002.89,Chemicals and Pertochemicals
2014-04-16,467314309.58,Chemicals and Pertochemicals
2014-04-17,278454128.39000005,Chemicals and Pertochemicals
2014-04-18,267064511.28,Chemicals and Pertochemicals
2014-04-21,343928840.3,Chemicals and Pertochemicals
2014-04-21,343928840.3,Chemicals and Pertochemicals
2014-04-21,343928840.3,Chemicals and Pertochemicals
2014-04-22,340089546.43,Chemicals and Pertochemicals
2014-04-23,309430364.20000005,Chemicals and Pertochemicals
2014-04-24,965794500.1,Chemicals and Pertochemicals
2014-04-25,556690283.32,Chemicals and Pertochemicals
2014-04-28,462069100.51,Chemicals and Pertochemicals
2014-04-28,462069100.51,Chemicals and Pertochemicals
2014-04-28,462069100.51,Chemicals and Pertochemicals
2014-04-29,491148053.86,Chemicals and Pertochemicals
2014-04-30,357416184.8,Chemicals and Pertochemicals
2014-05-02,278157302.17,Chemicals and Pertochemicals
2014-05-02,278157302.17,Chemicals and Pertochemicals
2014-05-05,135958901.26,Chemicals and Pertochemicals
2014-05-05,135958901.26,Chemicals and Pertochemicals
2014-05-05,135958901.26,Chemicals and Pertochemicals
2014-05-06,353482896.16999996,Chemicals and Pertochemicals
2014-05-07,552029033.9599999,Chemicals and Pertochemicals
2014-05-08,536502955.57,Chemicals and Pertochemicals
2014-05-12,251012060.67000002,Chemicals and Pertochemicals
2014-05-12,251012060.67000002,Chemicals and Pertochemicals
2014-05-12,251012060.67000002,Chemicals and Pertochemicals
2014-05-12,251012060.67000002,Chemicals and Pertochemicals
2014-05-13,472455615.37000006,Chemicals and Pertochemicals
2014-05-14,360106651.73999995,Chemicals and Pertochemicals
2014-05-15,881102777.53,Chemicals and Pertochemicals
2014-05-16,467927475.38,Chemicals and Pertochemicals
2014-05-19,363544431.43,Chemicals and Pertochemicals
2014-05-19,363544431.43,Chemicals and Pertochemicals
2014-05-19,363544431.43,Chemicals and Pertochemicals
2014-05-20,575122438.84,Chemicals and Pertochemicals
2014-05-21,830602456.1,Chemicals and Pertochemicals
2014-05-22,294458280.3,Chemicals and Pertochemicals
2014-05-23,518514554.18,Chemicals and Pertochemicals
2014-05-26,176756620.42000002,Chemicals and Pertochemicals
2014-05-26,176756620.42000002,Chemicals and Pertochemicals
2014-05-26,176756620.42000002,Chemicals and Pertochemicals
2014-05-27,600695646.29,Chemicals and Pertochemicals
2014-05-28,414393944.91999996,Chemicals and Pertochemicals
2014-05-29,241732152.62,Chemicals and Pertochemicals
2014-05-30,348521133.43,Chemicals and Pertochemicals
2014-06-02,566264507.9399999,Chemicals and Pertochemicals
2014-06-02,566264507.9399999,Chemicals and Pertochemicals
2014-06-02,566264507.9399999,Chemicals and Pertochemicals
2014-06-03,384961840.58000004,Chemicals and Pertochemicals
2014-06-04,320192782.90999997,Chemicals and Pertochemicals
2014-06-05,401620090.46000004,Chemicals and Pertochemicals
2014-06-06,325625243.46000004,Chemicals and Pertochemicals
2014-06-09,386889096.21999997,Chemicals and Pertochemicals
2014-06-09,386889096.21999997,Chemicals and Pertochemicals
2014-06-09,386889096.21999997,Chemicals and Pertochemicals
2014-06-10,1175176844.9999998,Chemicals and Pertochemicals
2014-06-11,586930975.0100001,Chemicals and Pertochemicals
2014-06-16,1237413813.1299999,Chemicals and Pertochemicals
2014-06-16,1237413813.1299999,Chemicals and Pertochemicals
