date,marketValue,traceName
2019-01-03,65487682.2,Chemicals and Pertochemicals
2019-01-03,65487682.2,Chemicals and Pertochemicals
2019-01-03,65487682.2,Chemicals and Pertochemicals
2019-01-04,28431466,Chemicals and Pertochemicals
2019-01-08,48167542.199999996,Chemicals and Pertochemicals
2019-01-08,48167542.199999996,Chemicals and Pertochemicals
2019-01-08,48167542.199999996,Chemicals and Pertochemicals
2019-01-08,48167542.199999996,Chemicals and Pertochemicals
2019-01-09,67047968.8,Chemicals and Pertochemicals
2019-01-10,155312869.85,Chemicals and Pertochemicals
2019-01-11,64593126.8,Chemicals and Pertochemicals
2019-01-14,101803905.60000001,Chemicals and Pertochemicals
2019-01-14,101803905.60000001,Chemicals and Pertochemicals
2019-01-14,101803905.60000001,Chemicals and Pertochemicals
2019-01-15,77563642.4,Chemicals and Pertochemicals
2019-01-16,111592305.89999999,Chemicals and Pertochemicals
2019-01-17,69666060.4,Chemicals and Pertochemicals
2019-01-18,72171273.6,Chemicals and Pertochemicals
2019-01-21,76873911.89,Chemicals and Pertochemicals
2019-01-21,76873911.89,Chemicals and Pertochemicals
2019-01-21,76873911.89,Chemicals and Pertochemicals
2019-01-22,72243767.8,Chemicals and Pertochemicals
2019-01-23,73681913.6,Chemicals and Pertochemicals
2019-01-24,133031683.4,Chemicals and Pertochemicals
2019-01-25,108288132.85,Chemicals and Pertochemicals
2019-01-28,67025942.4,Chemicals and Pertochemicals
2019-01-28,67025942.4,Chemicals and Pertochemicals
2019-01-28,67025942.4,Chemicals and Pertochemicals
2019-01-29,76470766,Chemicals and Pertochemicals
2019-01-30,99967392.28,Chemicals and Pertochemicals
2019-01-31,171190756.16,Chemicals and Pertochemicals
2019-02-01,156992950.75,Chemicals and Pertochemicals
2019-02-04,117790180.88,Chemicals and Pertochemicals
2019-02-04,117790180.88,Chemicals and Pertochemicals
2019-02-04,117790180.88,Chemicals and Pertochemicals
2019-02-05,99430898.27000001,Chemicals and Pertochemicals
2019-02-06,64349838.6,Chemicals and Pertochemicals
2019-02-07,142978827.7,Chemicals and Pertochemicals
2019-02-08,57945566.78,Chemicals and Pertochemicals
2019-02-11,90911251.25,Chemicals and Pertochemicals
2019-02-11,90911251.25,Chemicals and Pertochemicals
2019-02-11,90911251.25,Chemicals and Pertochemicals
2019-02-12,80962253.34,Chemicals and Pertochemicals
2019-02-13,104536312.44,Chemicals and Pertochemicals
2019-02-14,120449292.34,Chemicals and Pertochemicals
2019-02-15,165884492.84,Chemicals and Pertochemicals
2019-02-18,52123617.9,Chemicals and Pertochemicals
2019-02-18,52123617.9,Chemicals and Pertochemicals
2019-02-18,52123617.9,Chemicals and Pertochemicals
2019-02-19,76759571.25,Chemicals and Pertochemicals
2019-02-20,150354612.89,Chemicals and Pertochemicals
2019-02-21,132934512.38,Chemicals and Pertochemicals
2019-02-22,110335878.75,Chemicals and Pertochemicals
2019-02-25,80598126.9,Chemicals and Pertochemicals
2019-02-25,80598126.9,Chemicals and Pertochemicals
2019-02-25,80598126.9,Chemicals and Pertochemicals
2019-02-26,128883690.1,Chemicals and Pertochemicals
2019-02-27,98062825.2,Chemicals and Pertochemicals
2019-02-28,133058488.39999999,Chemicals and Pertochemicals
2019-03-01,114262895.64,Chemicals and Pertochemicals
2019-03-04,100304340,Chemicals and Pertochemicals
2019-03-04,100304340,Chemicals and Pertochemicals
2019-03-04,100304340,Chemicals and Pertochemicals
2019-03-05,84004778.7,Chemicals and Pertochemicals
2019-03-06,85750220,Chemicals and Pertochemicals
2019-03-07,110097990.2,Chemicals and Pertochemicals
2019-03-11,686672306.64,Chemicals and Pertochemicals
2019-03-11,686672306.64,Chemicals and Pertochemicals
2019-03-11,686672306.64,Chemicals and Pertochemicals
2019-03-11,686672306.64,Chemicals and Pertochemicals
2019-03-12,183031211.27,Chemicals and Pertochemicals
2019-03-13,178920242.45000002,Chemicals and Pertochemicals
2019-03-14,132217580.69999999,Chemicals and Pertochemicals
2019-03-15,632999279.5,Chemicals and Pertochemicals
2019-03-18,214848373.3,Chemicals and Pertochemicals
2019-03-18,214848373.3,Chemicals and Pertochemicals
2019-03-18,214848373.3,Chemicals and Pertochemicals
2019-03-19,99178181.31,Chemicals and Pertochemicals
2019-03-20,173789125.69,Chemicals and Pertochemicals
2019-03-21,279810339.23,Chemicals and Pertochemicals
2019-03-22,132292611.88999999,Chemicals and Pertochemicals
2019-03-25,159194763.03,Chemicals and Pertochemicals
2019-03-25,159194763.03,Chemicals and Pertochemicals
2019-03-25,159194763.03,Chemicals and Pertochemicals
2019-03-26,134030372.3,Chemicals and Pertochemicals
2019-03-27,153433338.8,Chemicals and Pertochemicals
2019-03-28,177096269.48,Chemicals and Pertochemicals
2019-03-29,115287723.25,Chemicals and Pertochemicals
2019-04-01,304620415.9,Chemicals and Pertochemicals
2019-04-01,304620415.9,Chemicals and Pertochemicals
2019-04-01,304620415.9,Chemicals and Pertochemicals
2019-04-02,131194148.47999999,Chemicals and Pertochemicals
2019-04-03,302218753.1,Chemicals and Pertochemicals
2019-04-04,146419377.6,Chemicals and Pertochemicals
2019-04-05,94900362.1,Chemicals and Pertochemicals
2019-04-08,113644143.35000001,Chemicals and Pertochemicals
2019-04-08,113644143.35000001,Chemicals and Pertochemicals
2019-04-08,113644143.35000001,Chemicals and Pertochemicals
2019-04-09,122038468.1,Chemicals and Pertochemicals
2019-04-10,112024601.3,Chemicals and Pertochemicals
2019-04-11,101169062.16,Chemicals and Pertochemicals
2019-04-12,147001345.97,Chemicals and Pertochemicals
2019-04-15,147932891.57,Chemicals and Pertochemicals
2019-04-15,147932891.57,Chemicals and Pertochemicals
2019-04-15,147932891.57,Chemicals and Pertochemicals
2019-04-16,226170105.06,Chemicals and Pertochemicals
2019-04-17,191842805.6,Chemicals and Pertochemicals
2019-04-18,155369305.12,Chemicals and Pertochemicals
2019-04-19,111060354.94,Chemicals and Pertochemicals
2019-04-22,70732833.0,Chemicals and Pertochemicals
2019-04-22,70732833.0,Chemicals and Pertochemicals
2019-04-22,70732833.0,Chemicals and Pertochemicals
2019-04-23,73196878.86,Chemicals and Pertochemicals
2019-04-24,69823542.9,Chemicals and Pertochemicals
2019-04-25,62217149.3,Chemicals and Pertochemicals
2019-04-26,75057192.6,Chemicals and Pertochemicals
2019-04-29,98911384.08,Chemicals and Pertochemicals
2019-04-29,98911384.08,Chemicals and Pertochemicals
2019-04-29,98911384.08,Chemicals and Pertochemicals
2019-04-30,105008394.08999999,Chemicals and Pertochemicals
2019-05-02,44778213.5,Chemicals and Pertochemicals
2019-05-02,44778213.5,Chemicals and Pertochemicals
2019-05-03,68136577.7,Chemicals and Pertochemicals
2019-05-06,61955031.36,Chemicals and Pertochemicals
2019-05-06,61955031.36,Chemicals and Pertochemicals
2019-05-06,61955031.36,Chemicals and Pertochemicals
2019-05-07,154772499.92,Chemicals and Pertochemicals
2019-05-08,78973653.22,Chemicals and Pertochemicals
2019-05-10,72795753.9,Chemicals and Pertochemicals
2019-05-10,72795753.9,Chemicals and Pertochemicals
2019-05-13,220196142.2,Chemicals and Pertochemicals
2019-05-13,220196142.2,Chemicals and Pertochemicals
2019-05-13,220196142.2,Chemicals and Pertochemicals
2019-05-14,126689584.50999999,Chemicals and Pertochemicals
2019-05-15,89924474.3,Chemicals and Pertochemicals
2019-05-16,265190317.17999998,Chemicals and Pertochemicals
2019-05-17,177887527.61999997,Chemicals and Pertochemicals
2019-05-20,101503624.72,Chemicals and Pertochemicals
2019-05-20,101503624.72,Chemicals and Pertochemicals
2019-05-20,101503624.72,Chemicals and Pertochemicals
2019-05-21,182084670.8,Chemicals and Pertochemicals
2019-05-22,73012219.58,Chemicals and Pertochemicals
2019-05-23,87899713.7,Chemicals and Pertochemicals
2019-05-24,109789774.02,Chemicals and Pertochemicals
2019-05-27,68840818.53,Chemicals and Pertochemicals
