date,marketValue,traceName
2015-01-05,181077552.05,Chemicals and Pertochemicals
2015-01-05,181077552.05,Chemicals and Pertochemicals
2015-01-05,181077552.05,Chemicals and Pertochemicals
2015-01-05,181077552.05,Chemicals and Pertochemicals
2015-01-05,181077552.05,Chemicals and Pertochemicals
2015-01-06,198948103.35,Chemicals and Pertochemicals
2015-01-08,403927297.3,Chemicals and Pertochemicals
2015-01-08,403927297.3,Chemicals and Pertochemicals
2015-01-09,422574153.1,Chemicals and Pertochemicals
2015-01-12,181439921.15,Chemicals and Pertochemicals
2015-01-12,181439921.15,Chemicals and Pertochemicals
2015-01-12,181439921.15,Chemicals and Pertochemicals
2015-01-13,356279387.95,Chemicals and Pertochemicals
2015-01-14,456232776.9,Chemicals and Pertochemicals
2015-01-15,426579682.65999997,Chemicals and Pertochemicals
2015-01-16,265811912,Chemicals and Pertochemicals
2015-01-19,307809247.95,Chemicals and Pertochemicals
2015-01-19,307809247.95,Chemicals and Pertochemicals
2015-01-19,307809247.95,Chemicals and Pertochemicals
2015-01-20,256090302.24,Chemicals and Pertochemicals
2015-01-21,257351701.5,Chemicals and Pertochemicals
2015-01-22,1020217294.55,Chemicals and Pertochemicals
2015-01-23,1497884344.75,Chemicals and Pertochemicals
2015-01-26,1248329945.65,Chemicals and Pertochemicals
2015-01-26,1248329945.65,Chemicals and Pertochemicals
2015-01-26,1248329945.65,Chemicals and Pertochemicals
2015-01-27,1978073270.73,Chemicals and Pertochemicals
2015-01-28,1831339053.97,Chemicals and Pertochemicals
2015-01-29,1487269392,Chemicals and Pertochemicals
2015-01-30,808422709.35,Chemicals and Pertochemicals
2015-02-02,672233067.3,Chemicals and Pertochemicals
2015-02-02,672233067.3,Chemicals and Pertochemicals
2015-02-02,672233067.3,Chemicals and Pertochemicals
2015-02-03,892314191.2,Chemicals and Pertochemicals
2015-02-04,672334412.8,Chemicals and Pertochemicals
2015-02-05,681780054.2,Chemicals and Pertochemicals
2015-02-06,1457135226.2,Chemicals and Pertochemicals
2015-02-09,863128736.28,Chemicals and Pertochemicals
2015-02-09,863128736.28,Chemicals and Pertochemicals
2015-02-09,863128736.28,Chemicals and Pertochemicals
2015-02-10,436240034.9,Chemicals and Pertochemicals
2015-02-11,741541476.75,Chemicals and Pertochemicals
2015-02-12,1081906126.45,Chemicals and Pertochemicals
