date,marketValue,traceName
2023-01-03,257905168.3,Chemicals and Pertochemicals
2023-01-03,257905168.3,Chemicals and Pertochemicals
2023-01-03,257905168.3,Chemicals and Pertochemicals
2023-01-04,240003021.5,Chemicals and Pertochemicals
2023-01-05,176690930.09,Chemicals and Pertochemicals
2023-01-06,254149050.3,Chemicals and Pertochemicals
2023-01-09,913611937.6,Chemicals and Pertochemicals
2023-01-09,913611937.6,Chemicals and Pertochemicals
2023-01-09,913611937.6,Chemicals and Pertochemicals
2023-01-10,344238287.65,Chemicals and Pertochemicals
2023-01-11,564086163.9000001,Chemicals and Pertochemicals
2023-01-12,234938747.88,Chemicals and Pertochemicals
2023-01-13,191911277.74,Chemicals and Pertochemicals
2023-01-16,269550407.75,Chemicals and Pertochemicals
2023-01-16,269550407.75,Chemicals and Pertochemicals
2023-01-16,269550407.75,Chemicals and Pertochemicals
2023-01-17,323349731.3,Chemicals and Pertochemicals
2023-01-18,292818925.8,Chemicals and Pertochemicals
2023-01-19,214336359.9,Chemicals and Pertochemicals
2023-01-20,222872017.8,Chemicals and Pertochemicals
2023-01-23,472357070.34,Chemicals and Pertochemicals
2023-01-23,472357070.34,Chemicals and Pertochemicals
2023-01-23,472357070.34,Chemicals and Pertochemicals
2023-01-24,2203081427.3999996,Chemicals and Pertochemicals
2023-01-25,3129851456.39,Chemicals and Pertochemicals
2023-01-26,1403071105.5,Chemicals and Pertochemicals
2023-01-27,436706611.0,Chemicals and Pertochemicals
2023-01-30,642399128.6,Chemicals and Pertochemicals
2023-01-30,642399128.6,Chemicals and Pertochemicals
2023-01-30,642399128.6,Chemicals and Pertochemicals
2023-01-31,364888127.49,Chemicals and Pertochemicals
2023-02-01,1956173357.92,Chemicals and Pertochemicals
2023-02-02,720184005.8,Chemicals and Pertochemicals
2023-02-03,790286413.8,Chemicals and Pertochemicals
2023-02-06,1927078837.0700002,Chemicals and Pertochemicals
2023-02-06,1927078837.0700002,Chemicals and Pertochemicals
2023-02-06,1927078837.0700002,Chemicals and Pertochemicals
2023-02-07,5010797249.92,Chemicals and Pertochemicals
2023-02-08,4539950340.4,Chemicals and Pertochemicals
2023-02-09,1424691432.3400002,Chemicals and Pertochemicals
2023-02-10,632033027.41,Chemicals and Pertochemicals
2023-02-13,3886888853.83,Chemicals and Pertochemicals
2023-02-13,3886888853.83,Chemicals and Pertochemicals
2023-02-13,3886888853.83,Chemicals and Pertochemicals
2023-02-14,4208531291.2,Chemicals and Pertochemicals
2023-02-15,2228440290.56,Chemicals and Pertochemicals
2023-02-16,1606407422.1799998,Chemicals and Pertochemicals
2023-02-17,4791877852.2,Chemicals and Pertochemicals
2023-02-20,938252074.0,Chemicals and Pertochemicals
2023-02-20,938252074.0,Chemicals and Pertochemicals
2023-02-20,938252074.0,Chemicals and Pertochemicals
2023-02-21,784120780.2,Chemicals and Pertochemicals
2023-02-22,1272872189.3,Chemicals and Pertochemicals
2023-02-24,671851671.5999999,Chemicals and Pertochemicals
2023-02-24,671851671.5999999,Chemicals and Pertochemicals
2023-02-27,1041413398.5600001,Chemicals and Pertochemicals
2023-02-27,1041413398.5600001,Chemicals and Pertochemicals
2023-02-27,1041413398.5600001,Chemicals and Pertochemicals
2023-02-28,657834896.3,Chemicals and Pertochemicals
2023-03-01,765485977.4,Chemicals and Pertochemicals
2023-03-02,1538459035.8400002,Chemicals and Pertochemicals
2023-03-03,3927148452.4,Chemicals and Pertochemicals
2023-03-06,1868545091.1,Chemicals and Pertochemicals
2023-03-06,1868545091.1,Chemicals and Pertochemicals
2023-03-06,1868545091.1,Chemicals and Pertochemicals
2023-03-07,1088946369.8500001,Chemicals and Pertochemicals
2023-03-09,685845676.15,Chemicals and Pertochemicals
2023-03-09,685845676.15,Chemicals and Pertochemicals
2023-03-10,759605192.18,Chemicals and Pertochemicals
2023-03-13,769081171.4,Chemicals and Pertochemicals
2023-03-13,769081171.4,Chemicals and Pertochemicals
2023-03-13,769081171.4,Chemicals and Pertochemicals
2023-03-14,584447126.2,Chemicals and Pertochemicals
2023-03-15,576635955.4,Chemicals and Pertochemicals
2023-03-16,854154979.0799999,Chemicals and Pertochemicals
2023-03-17,813878634.3,Chemicals and Pertochemicals
2023-03-20,1157424921.0,Chemicals and Pertochemicals
2023-03-20,1157424921.0,Chemicals and Pertochemicals
2023-03-20,1157424921.0,Chemicals and Pertochemicals
2023-03-21,1234592574.0,Chemicals and Pertochemicals
2023-03-22,734042806.4,Chemicals and Pertochemicals
2023-03-23,996356046.3,Chemicals and Pertochemicals
2023-03-24,1726790844.07,Chemicals and Pertochemicals
2023-03-27,1373776394.86,Chemicals and Pertochemicals
2023-03-27,1373776394.86,Chemicals and Pertochemicals
2023-03-27,1373776394.86,Chemicals and Pertochemicals
2023-03-28,1360422631.46,Chemicals and Pertochemicals
