exchange_ppif	PRIE	PRIE ETF RSHB-BondsESG	PRIE ETF	БПИФ РСХБ-Облигации ИЭсДжи	2021-04-26		
private_ppif	RU000A108VR7	ZPIF PARUS-MAX	ПАРУС-МАКС	ЗПИФ ПАРУС-МАКС	2024-09-02		
private_ppif	RU000A0JUYB1	ZPIF Loftinvest	ЗПИФЛофтин	ЗПИФ Лофтинвест	2020-11-05		
private_ppif	RU000A0ZYC64	SovrArendBiznes 2	СоврАрБиз2	ЗПИФ СовременАрендный бизнес 2	2017-10-11		
private_ppif	RU000A0ZZ5R2	PIF SovrArendBiznes3	СоврАрБиз3	ПИФ Современ Арендный бизнес 3	2018-10-22		
public_ppif	RU000A0ZZMN6	OPIF RSHB Fund Shares	РСХБ Акции	ОПИФ РСХБ – Фонд Акций	2023-02-21		
public_ppif	RU000A0JXWF0	Arsagera bonds KP 1.55	АрсКР1.55	Арсагера фонд обл КР 1.55	2024-04-26		
exchange_ppif	DIVD	ETF DIVD DOHOD DIV	ETF DIVD	БПИФ ДОХОДЪ Инд дивид акций	2021-01-19		
public_ppif	RU000A102Q33	OPIF BCS World Resources	БКС Миррес	ОПИФ БКС Мировые ресурсы	2021-08-30		
public_ppif	RU000A0JP773	PIF BKS-Indeks MMVB	БКС РосАкц	ОПИФ БКС Российские Акции	2021-08-30		
exchange_ppif	TEUR	TCAPITAL ETF ALL-WEATHER E	TEUR ETF	БПИФ ТКАПИТАЛ ВЕЧНЫЙ ПОРТФ Е	2019-12-09		
public_ppif	RU000A0JR2C1	Treasury Fund	ПИФКазна	ПИФ Казначейский УК ВИМИнвест	2010-12-01		
exchange_ppif	SBSC	First-Equities mid small cap	SBSC ETF	БПИФ Первая Акции ср.и мал.кап	2023-10-10		
private_ppif	RU000A1027E5	ZPIF VDO Fund for Dev RusComp	ЗПИФ ВДО	ЗПИФ Фонд ВДО разв. росс. комп	2021-02-15		
public_ppif	RU000A1007R9	OPIF BCS Fundamental Choice	БКСФундВыб	ОПИФ БКС Фундаментальный Выбор	2021-08-30		
public_ppif	RU0006922051	Fond Otrasl Inv	АкцииРоста	ОПИФ Акции роста	2021-07-05		
public_ppif	RU000A105TU1	BCS Capital	БКСКапитал	ОПИФ БКС Капитал	2023-05-15		
public_ppif	RU000A0ZZML0	OPIF RSHB Balanced Fund	РСХБ Сбал	ОПИФ РСХБ Сбалансированный	2023-02-21		
exchange_ppif	SBRI	SBRI ETF Responsible invest	SBRI ETF	БПИФ Первая Ответствен инвест	2020-09-24		
interval_ppif	RU000A108KP4	IPIF Astra Hedge Fund A+	ХеджФондА+	ИПИФ Астра Хедж-фонд А+	2024-08-16		
private_ppif	RU000A1000Y0	PIF  pre IPO Fund	iпре-АйПиО	ПИФ ВИМ пре-АйПиО фонд	2020-02-27		
exchange_ppif	OBLG	OBLG ETF Corp Bonds Smart beta	OBLG ETF	БПИФ Российскиеоблигации УКВИМ	2019-02-21		
exchange_ppif	TBEU	TBEU ETF TCAPITAL BONDS E	TBEU ETF	БПИФ ТКАПИТАЛ ОБЛИГАЦИИ Е	2021-11-23		
exchange_ppif	SUGB	SUGB ETF Government Bond 1-3Y	SUGB ETF	БПИФ МКБ – ОФЗ 1-3 г	2020-09-25		
public_ppif	RU0005418747	Fund-1 IP	ФондПервый	ОПИФ Фонд Первый	2021-07-05		
exchange_ppif	AKMB	ETF AKMB Alfa Managed Bonds	ETF AKMB	БПИФ Альфа Управляем облигации	2020-06-02		
interval_ppif	RU000A105153	IPIF Astra Hedge Fund P5	ХеджФондР5	ИПИФ Астра Хедж-фонд Р5	2023-09-18		
private_ppif	RU000A104172	ZPIF PARUS-SBL	ПАРУС-СБЛ	ЗПИФ ПАРУС-СБЛ	2021-12-30		
public_ppif	RU000A108TT7	BCS Equities with dividends	БКСДивАкци	БКС Дивиденд акции с выплатой	2024-07-08		
exchange_ppif	RCMX	RCMX ETF MOEX 15 Index	RCMX ETF	БПИФ Райф Индекс МосБиржи 15	2020-05-22		
exchange_ppif	OPNB	OPNB ETF - RU Bonds	OPNB ETF	БПИФ Открытие - Облигации РФ	2021-09-06		
exchange_ppif	OPNR	OPNR ETF - RU Stocks	OPNR ETF	БПИФ Открытие - Акции РФ	2021-09-06		
private_ppif	RU000A104KU3	ZPIF PARUS-Nordway	ПАРУС-НОРД	ЗПИФ ПАРУС-Нордвей	2022-10-21		
public_ppif	RU000A104M43	OPIF Alenka-Capital	ПИФ Аленка	ОПИФ Аленка-Капитал	2024-05-24		
private_ppif	RU000A103B62	Rental income PRO	РенДохПРО	Рентный доход ПРО	2021-10-05		
exchange_ppif	BOND	BOND ETF DOHOD Cbonds corp. RU	BOND ETF	ДОХОДЪ Сбондс Корп. обл. РФ	2022-08-18		
exchange_ppif	TLCB	TLCB T-Capital CURRENCY BONDS	TLCB ETF	Т-КАПИТАЛ ВАЛЮТНЫЕ ОБЛИГАЦИИ	2023-11-23		
interval_ppif	RU000A102PQ4	Fund Subord RUB	ФондСубРуб	ИПИФ ВИМ Фонд Суборд Рубли	2021-06-15		
exchange_ppif	FINC	FINSTAR Money market +	FINC ETF	ФИНСТАР Денежный рынок +	2024-09-02		
exchange_ppif	TPAY	TPAY ETF T-Capital Passive Inc	TPAY ETF	Т-Капитал Пассивный Доход	2024-08-12		
private_ppif	RU000A0JWCE7	ZPIF Perlovsky	Перловский	ЗПИФ Недвижимости Перловский	2024-08-14		
exchange_ppif	SBFR	SBFR ETF Fund Bonds floaters	SBFR ETF	БПИФ Первая Облигации флоатеры	2024-01-31		
private_ppif	RU000A0JR7X6	PIF Effective	ПИФЭффект	УК Русь Менедж. ПИФЭффективный	2011-02-24		
private_ppif	RU000A108751	ZPIF Alfa Industrial parks	ПИФПромПар	ЗПИФ Альфа Промышленные парки	2024-09-26		
private_ppif	RU000A1068X9	ZPIF PARUS-Dvincev	ПАРУС-ДВН	ЗПИФ ПАРУС-Двинцев	2023-07-25		
exchange_ppif	BCSD	BCSD ETF Money Market	BCSD ETF	БПИФ БКС Денежный рынок	2024-07-25		
private_ppif	RU000A0JPGC6	Straji Yrala -IF comb. YK Sodr	СтражУрСод	ЗПИФ комб. Стражи Урала Содр	2007-10-31		
private_ppif	RU000A105GY0	ZPIF Gamma First Sports	ЗПИФПервСп	ЗПИФ Гамма Первый спортивный	2024-02-05		
interval_ppif	RU000A108ZB2	WIM Investments 2x OFZ	2хОФЗ	ВИМ Инвестиции 2х ОФЗ	2024-08-02		
public_ppif	RU000A0JR282	Equity Fund	ПИФАкции	ПИФ Акции УК ВИМИнвест	2010-12-01		
exchange_ppif	TDIV	TDIV T-Capital DIVIDEND STOCKS	TDIV ETF	Т-Капитал ДИВИДЕНДНЫЕ АКЦИИ	2023-11-23		
private_ppif	RU000A108157	Rental PRO	Рентал ПРО	ЗПИФ Рентал ПРО	2024-06-06		
exchange_ppif	EQMX	EQMX ETF MOEX Fund	EQMX ETF	БПИФ Индекс МосБиржи УК ВИМ	2020-03-02		
interval_ppif	RU000A102PE0	Fund Subord USD	ФондсубUSD	ИПИФ ВИМ Фонд Суборд Доллары	2021-02-19		
public_ppif	RU000A105RJ8	OPIF RSHB Debt Market	РСХБДолРын	ОПИФ РСХБ Долговой рынок	2023-04-06		
private_ppif	RU000A108RS3	ZPIF Zalogovye zajmy	ПИФЗалЗайм	ЗПИФ Залоговые займы	2024-10-07		
exchange_ppif	SIPO	SIPO ETF First IPO	SIPO ETF	БПИФ Первая Индекс IPO	2024-07-22		
public_ppif	RU000A101UY0	OPIF MKB Money market	ОПИФ MM	ОПИФ МКБ Денежный рынок	2020-08-07		
private_ppif	RU000A0JR811	PIF Odintsovskiy promishlenniy	ПИФОдинцПр	УК Русь Менедж. ПИФОдинцПром	2011-02-24		
private_ppif	RU000A101UK9	ZPIF STROYPROEKT AM OREOL	ОРЕОЛСтрой	ЗПИФ СТРОЙПРОЕКТ УК ОРЕОЛ	2021-10-11		
private_ppif	RU000A0JXP78	ZPIF DOM.RF	ЗПИФДОМ.РФ	ЗПИФ недвижимости ДОМ.РФ	2017-05-17		
private_ppif	RU000A1075T2	MF Gazprombank - Ruby	ЗПИФ Рубин	ЗПИФ Газпромбанк – Рубин	2023-12-13		
exchange_ppif	AKIE	ETF Alfa Managed Income Shares	ETF AKIE	БПИФ Альфа Упр Акции с доходом	2024-09-26		
exchange_ppif	TMON	TMON ETF TCAPITAL MONEY MARKET	TMON ETF	T-КАПИТАЛ ДЕНЕЖНЫЙ РЫНОК	2023-07-12		
exchange_ppif	BCSB	BCSB ETF High Yield Bonds	BCSB ETF	БКС Облигации повыш доход	2021-03-15		
exchange_ppif	GOLD	GOLD ETF Gold Fund	GOLD ETF	БПИФ Золото.Биржевой УК ВИМ	2020-06-08		
exchange_ppif	SBGD	SBGD ETF Fund Affordable gold	SBGD ETF	БПИФ Первая Доступное золото	2022-09-06		
private_ppif	RU000A0JTVY1	PIF Nevskiy UK EMRIS	ПИФНевский	ПИФ Невский УК ЭМРИС	2013-05-07		
exchange_ppif	LQDT	LQDT ETF Money Market Fund	LQDT ETF	БПИФ Ликвидность УК ВИМ	2020-01-20		
public_ppif	RU0006922044	Fund-Professional IP	ФондПроф	ОПИФ Фонд Профессиональный	2021-07-05		
private_ppif	RU000A0JPZP8	AK BARS-Perspektiva	АкБрс-Прсп	УКАкБарсКап ПИФ АК БАРС-Персп.	2008-10-10		
public_ppif	RU000A0HGNH4	Arsagera fund mixed investment	ПИФАрсСИ	Арсагера фонд смеш. инвестиц.	2024-04-26		
public_ppif	RU000A0ZZMD7	OPIF RSHB Fund Bonds	РСХБ Облиг	ОПИФ РСХБ – Фонд Облигаций	2023-02-21		
