parents	labels	shortname	shortname_rus	name_rus	history_from	history_till	trace_color	wiki_page
corporate_bond	XS1718466250	BCS SP Plc Series 2017-17	BCS RTS	BCS SP Plc Series 2017-17	2017-11-30			
corporate_bond	XS1721463500	GAZ CAPITAL SA 2.25 221124	GAZ-24 EUR	GAZ CAPITAL SA 2.25 221124	2023-10-03			
corporate_bond	XS1725078163	BCS SP Plc Series 13	BCS 1220	BCS SP Plc Series 13	2017-12-01			
corporate_bond	XS1731601867	BCS SP Plc Series 2017-19	BCS PFGRA	BCS SP Plc Series 2017-19	2017-12-27			
corporate_bond	XS1752568144	Phosagro BondFunding DAC 3.949	PHOS-23	Phosagro BondFunding DAC 3.949	2020-10-19			
corporate_bond	XS1759801720	CBOM Finance P.L.C. 5.55	CBOM-23	CBOM Finance P.L.C. 5.55	2019-04-05			
corporate_bond	XS1760786340	Alfa Bond Issuance perpetual 2	ALFA-perp2	Alfa Bond Issuance perpetual 2	2021-04-19			
corporate_bond	XS1762858428	BCS SP Plc Series 14	BCS 0128	BCS SP Plc Series 14	2018-02-08			
corporate_bond	XS1764143597	BCS SP Plc Series 2018-1	BCS 0228	BCS SP Plc Series 2018-1	2018-02-26			
corporate_bond	XS1772800204	DME Airport DAC  5.075	DME-23	DME Airport DAC 5.075 15.02.23	2021-07-12			
corporate_bond	XS1783223206	BCS SP Plc Series 15	BCS 0221	BCS SP Plc Series 15	2018-03-02			
corporate_bond	XS1795409082	GAZ CAPITAL S.A. 2.5 210326	GAZ-26 EUR	GAZ CAPITAL S.A. 2.5 210326	2024-02-01			
corporate_bond	XS1799164790	BCS SP Plc Series 16	BCS 0421	BCS SP Plc Series 16	2018-04-04			
corporate_bond	XS1801889830	BCS SP Plc Series 2018-6	BCS 0428	BCS SP Plc Series 2018-6	2018-06-01			
corporate_bond	XS1807420937	BCS SP Plc Series 17	BCS 421	BCS SP Plc Series 17	2018-04-27			
corporate_bond	XS1819608172	BCS SP Plc Series 18	BCS 0621	BCS SP Plc Series 18	2018-05-25			
corporate_bond	XS1820831607	BCS SP Plc Series 19	BCS 1022	BCS SP Plc Series 19	2018-05-28			
corporate_bond	XS1822383094	BCS SP Plc Series 2018-8	BCS 0923	BCS SP Plc Series 2018-8	2018-09-25			
corporate_bond	XS1833629253	BCS SP Plc Series 20	BCS 0721	BCS SP Plc Series 20	2018-06-19			
corporate_bond	XS1838071964	BCS SP Plc Series 21	BCS 721	BCS SP Plc Series 21	2018-06-22			
corporate_bond	XS1843434959	MMK International Capital_24	MMK-24	MMK International Capital_24	2020-10-05			
corporate_bond	XS1843435337	Steel Funding DAC 4.7 300526	NLMK-26	Steel Funding DAC 4.7 300526	2021-02-08			
corporate_bond	XS1843437036	RZD Capital PLC 2.2 230527	RZD-27 EUR	RZD Capital PLC 2.2 230527	2020-12-21			
corporate_bond	XS1843441731	ALROSA FIN SA 4.65 090424	ALRS-24	ALROSA FIN SA 4.65 090424	2021-03-22			
corporate_bond	XS1843443273	Evraz plc 5.25 020424	EVR-24	Evraz plc 5.25 020424	2020-07-22			
corporate_bond	XS1857100413	BCS SP Plc Series 22	BCS 821	BCS SP Plc Series 22	2018-07-31			
corporate_bond	XS1859436070	BCS SP Plc Series 23	BCS 0821	BCS SP Plc Series 23	2018-07-31			
corporate_bond	XS1859436401	BCS SP Plc Series 24	BCS310821	BCS SP Plc Series 24	2018-09-13			
corporate_bond	XS1870376461	BCS SP Plc Series 25	BCS 0921	BCS SP Plc Series 25	2018-09-13			
corporate_bond	XS1873963794	BCS SP Plc Series 26	BCS 1021	BCS SP Plc Series 26	2018-09-13			
corporate_bond	XS1878009866	BCS SP Plc Series 27	BCS 623	BCS SP Plc Series 27	2018-10-03			
corporate_bond	XS1892856128	BCS SP Plc Series 29	BCS 1121	BCS SP Plc Series 29	2018-10-29			
corporate_bond	XS1894115705	BCS SP Plc Series 30	BCS301121	BCS SP Plc Series 30	2018-11-30			
corporate_bond	XS1900962892	BCS SP Plc Series 2018-16	BCS 1023	BCS SP Plc Series 2018-16	2018-11-21			
corporate_bond	XS1903464391	BCS SP Plc Series 31	BCS 1221	BCS SP Plc Series 31	2018-11-30			
corporate_bond	XS1904686661	BCS SP Plc Series 2018-17	BCS Iron2	BCS SP Plc Series 2018-17	2018-11-21			
corporate_bond	XS1917700483	BCS SP Plc Series 32	BCS211221	BCS SP Plc Series 32	2018-12-13			
corporate_bond	XS1917700723	BCS SP Plc Series 2018-18	BCS FORSAJ	BCS SP Plc Series 2018-18	2018-12-07			
corporate_bond	XS1923604984	BCS SP Plc Series 2018-19	BCS Iron3	BCS SP Plc Series 2018-19	2018-12-24			
corporate_bond	XS1927711454	BCS SP Plc Series 2019-1	BCS Perviy	BCS SP Plc Series 2019-1	2019-01-22			
corporate_bond	XS1937694625	BCS SP Plc Series 33	BCS1223-2	BCS SP Plc Series 33	2019-02-07			
corporate_bond	XS1943597994	BCS SP Plc Series 34	BCS1223-3	BCS SP Plc Series 34	2019-02-07			
corporate_bond	XS1946763361	BCS SP Plc Series 2019-2	BCS GM1	BCS SP Plc Series 2019-2	2019-04-11			
corporate_bond	XS1949598855	BCS SP Plc Series 35	BCS 0222	BCS SP Plc Series 35	2019-02-12			
corporate_bond	XS1951067039	CBOM Finance P.L.C. 5.15	CBOM-24 EU	CBOM Finance P.L.C. 5.15	2019-04-05			
corporate_bond	XS1951084471	GAZ CAPITAL S.A. 5.15 110226	GAZ-26	GAZ CAPITAL S.A. 5.15 110226	2023-06-23			
corporate_bond	XS1952156344	BCS SP Plc Series 2019-3	BCS EUSTAR	BCS SP Plc Series 2019-3	2019-02-26			
corporate_bond	XS1953826978	BCS SP Plc Series 36	BCS 0422	BCS SP Plc Series 36	2019-02-26			
corporate_bond	XS1954534621	BCS SP Plc Series 37	BCS0422-2	BCS SP Plc Series 37	2019-02-26			
corporate_bond	XS1960651641	BCS SP Plc Series 2019-7	BCS0624-2	BCS SP Plc Series 2019-7	2019-03-15			
corporate_bond	XS1961080501	EuroChem Fin DAC 5.5 130324	EUCH-24	EuroChem Fin DAC 5.5 130324	2020-09-21			
corporate_bond	XS1962541709	BCS SP Plc Series 38	BCS 0624	BCS SP Plc Series 38	2019-03-18			
corporate_bond	XS1963835902	BCS SP Plc Series 39	BCS 0424	BCS SP Plc Series 39	2019-03-19			
corporate_bond	XS1964558339	CBOM Finance P.L.C. 7.121	CBOM-24	CBOM Finance P.L.C. 7.121	2019-05-14			
corporate_bond	XS1967593796	BCS SP Plc Series 40	BCS0624-3	BCS SP Plc Series 40	2019-04-15			
corporate_bond	XS1982161603	BCS SP Plc Series 41	BCS0624-4	BCS SP Plc Series 41	2019-04-18			
corporate_bond	XS1985081444	BCS SP Plc Series 42	BCS 0524	BCS SP Plc Series 42	2019-04-22			
corporate_bond	XS1998798984	BCS SP Plc Series 43	BCS 0622	BCS SP Plc Series 43	2019-05-24			
corporate_bond	XS2004904285	BCS SP Plc Series 44	BCS0622-2	BCS SP Plc Series 44	2019-06-05			
corporate_bond	XS2009879425	BCS SP Plc Series 45	BCS0624-5	BCS SP Plc Series 45	2019-06-13			
corporate_bond	XS2010030919	ALROSA Finance S.A. 250627	ALRS-27	ALROSA Finance S.A. 250627	2021-03-01			
corporate_bond	XS2010040397	Uralkali Finance 221024	URKA-24	Uralkali Finance 221024	2021-02-01			
corporate_bond	XS2010043656	SovCom Capital D.A.C. 070430	SCB-30	SovCom Capital D.A.C. 070430	2019-11-20			
corporate_bond	XS2010044381	GTLK Europe Capital 180226	GTLK-26	GTLK Europe Capital 180226	2020-07-02			
corporate_bond	XS2010044548	Chelpipe Finance DAC 190924	CHP-24	Chelpipe Finance DAC 190924	2021-12-06			
corporate_bond	XS2010044621	Sibur Securities DAC 230924	SIB-24	Sibur Securities DAC 230924	2020-09-28			
corporate_bond	XS2015214757	BCS SP Plc Series 46	BCS0724	BCS SP Plc Series 46	2019-06-21			
corporate_bond	XS2019822357	BCS SP Plc Series 2019-6	BCS GM2	BCS SP Plc Series 2019-6	2019-06-28			
corporate_bond	XS2020622887	BCS SP Plc Series 47	BCS0822	BCS SP Plc Series 47	2019-07-12			
corporate_bond	XS2027360507	BCS SP Plc Series 2019-8	BCS GM3	BCS SP Plc Series 2019-8	2019-07-19			
corporate_bond	XS2028879026	BCS SP Plc Series 48	BCS0624-6	BCS SP Plc Series 48	2019-07-17			
corporate_bond	XS2028879703	BCS SP Plc Series 49	BCS0822-2	BCS SP Plc Series 49	2019-07-17			
corporate_bond	XS2028880115	BCS SP Plc Series 51	BCS0624-7	BCS SP Plc Series 51	2019-07-22			
corporate_bond	XS2028880461	BCS SP Plc Series 50	BCS0824	BCS SP Plc Series 50	2019-07-19			
corporate_bond	XS2038593419	BCS SP Plc Series 52	BCS0922	BCS SP Plc Series 52	2019-08-12			
corporate_bond	XS2038595034	BCS SP Plc Series 53	BCS0924	BCS SP Plc Series 53	2019-08-12			
corporate_bond	XS2038610445	BCS SP Plc Series 54	BCS0624-8	BCS SP Plc Series 54	2019-08-15			
corporate_bond	XS2045765729	BCS SP Plc Series 2019-11	BCS GM4	BCS SP Plc Series 2019-11	2019-08-27			
corporate_bond	XS2045847295	BCS SP Plc ALOR LV1	BCSALORLV1	BCS SP Plc ALOR LV1	2019-09-13			
corporate_bond	XS2046736919	STEEL CAPITAL S.A. 160924	STL-24	STEEL CAPITAL S.A. 160924	2021-03-15			
corporate_bond	XS2049809341	BCS SP Plc Series 55	BCS1022-2	BCS SP Plc Series 55	2019-09-25			
corporate_bond	XS2053914953	BCS SP Plc Series 57	BCS 1024	BCS SP Plc Series 57	2019-09-20			
corporate_bond	XS2057952439	BCS1224	BCS1224	BCS SP Plc Series 58	2019-10-09			
corporate_bond	XS2058684619	BCS1224-2	BCS1224-2	BCS SP Plc Series 59	2019-10-09			
corporate_bond	XS2060792236	Celtic Resources 091024	NG-24	Celtic Resources 091024	2021-12-30			
corporate_bond	XS2063279959	Alfa Bond Issuance 150430	ALFA-30	Alfa Bond Issuance 150430	2021-04-12			
corporate_bond	XS2065019957	BCS SP Plc Series 2019-15	BCS GM5	BCS SP Plc Series 2019-15	2019-10-16			
corporate_bond	XS2065556453	BCS SP Plc Series 60	BCS0223	BCS SP Plc Series 60	2019-10-16			
corporate_bond	XS2066725107	BCS SP Plc Series 2019-16	BCS GM6	BCS SP Plc Series 2019-16	2019-10-23			
corporate_bond	XS2068071211	BCS SP Plc Series 61	BCS1124	BCS SP Plc Series 61	2019-10-22			
corporate_bond	XS2069992258	MMC Finance DAC 281024	GMKN-24	MMC Finance DAC 281024	2021-03-22			
corporate_bond	XS2072913317	BCS SP Plc Series 62	BCS1224-3	BCS SP Plc Series 62	2019-11-15			
corporate_bond	XS2072913663	BCS SP Plc Series 64	BCS1224-5	BCS SP Plc Series 64	2019-11-18			
corporate_bond	XS2072914125	BCS SP Plc Series 63	BCS1224-4	BCS SP Plc Series 63	2019-11-15			
corporate_bond	XS2072916336	BCS SP Plc Series 2019-19	BCSALOR5S	BCS SP Plc Series 2019-19	2019-11-05			
corporate_bond	XS2079093949	BCS SP Plc Series 66	BCS1224-6	BCS SP Plc Series 66	2019-11-19			
corporate_bond	XS2085844053	BCS SP Plc Series 69	BCS1224-7	BCS SP Plc Series 69	2019-12-04			
corporate_bond	XS2085844640	BCS SP Plc Series 70	BCS1224-8	BCS SP Plc Series 70	2019-12-03			
corporate_bond	XS2085880529	BCS SP Plc Series 68	BCS0323	BCS SP Plc Series 68	2019-12-02			
corporate_bond	XS2088720524	BCS SP Plc Series 71	BCS1224-9	BCS SP Plc Series 71	2019-12-12			
corporate_bond	XS2091664370	BCS SP Plc Series 72	BCS1224-A	BCS SP Plc Series 72	2019-12-13			
corporate_bond	XS2091667043	BCS SP Plc Series 73	BCS1224-B	BCS SP Plc Series 73	2019-12-16			
corporate_bond	XS2091668447	BCS SP Plc Series 74	BCS1224-C	BCS SP Plc Series 74	2019-12-13			
corporate_bond	XS2091672803	BCS SP Plc Series 75	BCS1224-D	BCS SP Plc Series 75	2019-12-16			
corporate_bond	XS2093710494	BCS SP Plc Series 77	BCS1224-E	BCS SP Plc Series 77	2019-12-20			
corporate_bond	XS2099039542	Phosagro Bond Funding 230125	PHOS-25	Phosagro Bond Funding 230125	2021-09-13			
corporate_bond	XS2099349495	BCS SP Plc Series 78	BCS0323-2	BCS SP Plc Series 78	2020-01-20			
corporate_bond	XS2099763075	CBOM Finance P.L.C. 4.7	CBOM-25	CBOM Finance P.L.C. 4.7	2020-02-04			
corporate_bond	XS2104313221	BCS SP Plc Series 79	BCS0523	BCS SP Plc Series 79	2020-01-22			
corporate_bond	XS2104929331	BCS SP Plc Series 80	BCS0325	BCS SP Plc Series 80	2020-01-24			
corporate_bond	XS2110115487	BCS SP Plc Series 2020-01	BCS GMp1	BCS SP Plc Series 2020-01	2020-01-31			
corporate_bond	XS2113968148	SovCom Capital perpetual	SCB-perp	SovCom Capital perpetual	2020-02-19			
corporate_bond	XS2114337798	BCS SP Plc Series 81	BCS0625	BCS SP Plc Series 81	2020-02-10			
corporate_bond	XS2116222451	TMK CAPITAL S.A. 4.3 120227	TMK-27	TMK CAPITAL S.A. 4.3 120227	2021-10-18			
corporate_bond	XS2116689972	BCS SP Plc Series 2020-02	BCS GMp2	BCS SP Plc Series 2020-02	2020-02-14			
corporate_bond	XS2118272389	BCS SP Plc Series 83	BCS0623	BCS SP Plc Series 83	2020-02-18			
corporate_bond	XS2121431113	BCS SP Plc Series 2020-3	BCS GMf2	BCS SP Plc Series 2020-3	2020-04-23			
corporate_bond	XS2123084639	BCS SP Plc Series 2020-4	BCSALORLV2	BCS SP Plc Series 2020-4	2020-02-27			
corporate_bond	XS2124187571	Gaz Finance Plc 3.25 250230	GAZ-30	Gaz Finance Plc 3.25 250230	2023-02-17			
corporate_bond	XS2125163688	BCS SP Plc Series 84	BCS0625-2	BCS SP Plc Series 84	2020-03-02			
corporate_bond	XS2128023012	BCS SP Plc Series 2020-05	BCS GMp3	BCS SP Plc Series 2020-05	2020-03-10			
corporate_bond	XS2128490906	BCS SP Plc Series 85	BCS0725	BCS SP Plc Series 85	2020-03-11			
corporate_bond	XS2131995958	GTLK Europe Capital 100327	GTLK-27	GTLK Europe Capital 100327	2020-10-26			
corporate_bond	XS2134628069	MMC Finance DAC 110925	GMKN-25	MMC Finance DAC 110925	2020-10-12			
corporate_bond	XS2139466846	BCS SP Plc Series 2020-7	BCS GM8	BCS SP Plc Series 2020-7	2020-03-23			
corporate_bond	XS2139467901	BCS SP Plc Series 2020-6	BCS GMf1	BCS SP Plc Series 2020-6	2020-04-21			
corporate_bond	XS2139835636	BCS SP Plc Series 2020-8	BCSALORPT	BCS SP Plc Series 2020-8	2020-03-25			
corporate_bond	XS2143149834	BCS SP Plc Series 87	BCS0725-2	BCS SP Plc Series 87	2020-04-13			
corporate_bond	XS2143253495	BCS SP Plc Series 89	BCS0625-4	BCS SP Plc Series 89	2020-03-30			
corporate_bond	XS2143253651	BCS SP Plc Series 88	BCS0625-3	BCS SP Plc Series 88	2020-03-26			
corporate_bond	XS2147899228	BCS SP Plc Series 2020-9	BCSGM PG1	BCS SP Plc Series 2020-9	2020-04-14			
corporate_bond	XS2152970393	BCS SP Plc Series 2020-11	BCS GMp4	BCS SP Plc Series 2020-11	2020-04-15			
corporate_bond	XS2152970476	BCS SP Plc Series 2020-12	BCS GMp6	BCS SP Plc Series 2020-12	2020-05-28			
corporate_bond	XS2154338623	BCS SP Plc Series 2020-13	BCS GMf3	BCS SP Plc Series 2020-13	2020-04-23			
corporate_bond	XS2157526315	Gaz Finance Plc 2.95 150425	GAZ-25 EU2	Gaz Finance Plc 2.95 150425	2024-02-21			
corporate_bond	XS2158465802	BCS SP Plc Series 90	BCS0523-2	BCS SP Plc Series 90	2020-04-21			
corporate_bond	XS2159874002	LUKOIL Securities B.V.060530	LUK-30	LUKOIL Securities B.V.060530	2022-11-16			
corporate_bond	XS2166995725	BCS SP Plc Series 2020-14	BCS GMp5	BCS SP Plc Series 2020-14	2020-05-08			
corporate_bond	XS2170362839	BCS SP Plc Series 91	BCS0925	BCS SP Plc Series 91	2020-05-21			
corporate_bond	XS2181436796	BCS SP Plc Series 92	BCS0625-5	BCS SP Plc Series 92	2020-06-04			
corporate_bond	XS2183144810	Alfa Holding Issuance 110623	ALFA-23 EU	Alfa Holding Issuance 110623	2021-02-08			
corporate_bond	XS2183933576	BCS SP Plc Series 94	BCS0623-2	BCS SP Plc Series 94	2020-06-10			
corporate_bond	XS2184850811	BCS SP Plc Series 93	BCS1025-2	BCS SP Plc Series 93	2020-06-10			
corporate_bond	XS2185963803	BCS SP Plc Series 95	BCS1025	BCS SP Plc Series 95	2020-06-16			
corporate_bond	XS2189376911	BCS SP Plc Series 2020-16	BCS GMf5	BCS SP Plc Series 2020-16	2020-06-17			
corporate_bond	XS2189377562	BCS SP Plc Series 2020-15	BCS GMf4	BCS SP Plc Series 2020-15	2020-06-17			
corporate_bond	XS2191043913	BCS SP Plc Series 98	BCS0625-6	BCS SP Plc Series 98	2020-06-23			
corporate_bond	XS2191173538	BCS SP Plc Series 97	BCS0723	BCS SP Plc Series 97	2020-06-22			
corporate_bond	XS2194477282	BCS SP Plc Series 101	BCS0723-2	BCS SP Plc Series 101	2020-06-29			
corporate_bond	XS2194483769	BCS SP Plc Series 99	BCS0625-7	BCS SP Plc Series 99	2020-06-26			
corporate_bond	XS2196311380	BCS SP Plc Series 2020-17	BCS GMeF1	BCS SP Plc Series 2020-17	2020-07-10			
corporate_bond	XS2196334671	Gaz Finance Plc 3.00 290627	GAZ-27_2	Gaz Finance Plc 3.00 290627	2023-05-26			
corporate_bond	XS2198210424	BCS SP Plc Series 100	BCS0723-3	BCS SP Plc Series 100	2020-07-07			
corporate_bond	XS2198400470	BCS SP Plc Series 103	BCS0823	BCS SP Plc Series 103	2020-07-10			
corporate_bond	XS2199713384	Sibur Securities DAC 080725	SIB-25	Sibur Securities DAC 080725	2021-03-09			
corporate_bond	XS2200171762	BCS SP Plc Series 2020-18	BCSGM PG2	BCS SP Plc Series 2020-18	2020-07-13			
corporate_bond	XS2205319705	BCS SP Plc Series 2020-20	BCS GMf7	BCS SP Plc Series 2020-20	2020-07-20			
corporate_bond	XS2205545119	BCS SP Plc Series 2020-19	BCS GMf6	BCS SP Plc Series 2020-19	2020-07-20			
corporate_bond	XS2206912847	BCS SP Plc Series 2020-21	BCSALORLV3	BCS SP Plc Series 2020-21	2020-07-20			
corporate_bond	XS2208853999	BCS SP Plc Series 104	BCS1125	BCS SP Plc Series 104	2020-07-29			
corporate_bond	XS2210719485	BCS SP Plc Series 105	BCS0825	BCS SP Plc Series 105	2020-08-03			
corporate_bond	XS2211859439	BCS SP Plc Series 107	BCS0625-8	BCS SP Plc Series 107	2020-08-06			
corporate_bond	XS2212032911	BCS SP Plc Series 106	BCS0823-2	BCS SP Plc Series 106	2020-08-06			
corporate_bond	XS2212035690	BCS SP Plc Series 108	BCS0625-9	BCS SP Plc Series 108	2020-08-07			
corporate_bond	XS2213663797	BCS SP Plc Series 110	BCS1225-2	BCS SP Plc Series 110	2020-08-12			
corporate_bond	XS2213664092	BCS SP Plc Series 109	BCS1225	BCS SP Plc Series 109	2020-08-12			
corporate_bond	XS2215497830	BCS SP Plc Series 2020-24	BCS GMf8	BCS SP Plc Series 2020-24	2020-08-14			
corporate_bond	XS2224524491	BCS SP Plc Series 111	BCS1223-4	BCS SP Plc Series 111	2020-09-01			
corporate_bond	XS2225301725	BCS SP Plc Series 112	BCS1225-3	BCS SP Plc Series 112	2020-09-04			
corporate_bond	XS2225424303	BCS SP Plc Series 113	BCS1225-4	BCS SP Plc Series 113	2020-09-08			
corporate_bond	XS2227340028	BCS SP Plc Series 114	BCS1223-5	BCS SP Plc Series 114	2020-09-11			
corporate_bond	XS2228213471	BCS SP Plc Series 2020-25	BCSGM PG3	BCS SP Plc Series 2020-25	2020-09-15			
corporate_bond	XS2230258035	BCS SP Plc Series 115	BCS0923	BCS SP Plc Series 115	2020-09-15			
corporate_bond	XS2233228597	BCS SP Plc Series 117	BCS0124	BCS SP Plc Series 117	2020-09-22			
corporate_bond	XS2237422972	BCS SP Plc Series 118	BCS1225-5	BCS SP Plc Series 118	2020-09-25			
corporate_bond	XS2240504881	BCS SP Plc Series 119	BCS0224	BCS SP Plc Series 119	2020-10-16			
corporate_bond	XS2242161904	BCS SP Plc Series 120	BCS0224-2	BCS SP Plc Series 120	2020-10-16			
corporate_bond	XS2242762651	BCS SP Plc Series 2020-28	BCSALORPT2	BCS SP Plc Series 2020-28	2020-10-14			
corporate_bond	XS2243038663	BCS SP Plc Series 2020-29	BCSGM PG4	BCS SP Plc Series 2020-29	2020-10-22			
corporate_bond	XS2243631095	Gaz Finance Plc UNDT USD	GAZ-perp U	Gaz Finance Plc UNDT USD	2023-06-08			
corporate_bond	XS2243636219	Gaz Finance Plc UNDT	GAZ-perp E	Gaz Finance Plc UNDT	2023-11-28			
corporate_bond	XS2244322322	BCS SP Plc Series 121	BCS1225-6	BCS SP Plc Series 121	2020-10-21			
corporate_bond	XS2248577566	BCS SP Plc Series 123	BCS0226	BCS SP Plc Series 123	2020-10-23			
corporate_bond	XS2249575643	BCS SP Plc Series 124	BCS0224-3	BCS SP Plc Series 124	2020-10-26			
corporate_bond	XS2249778247	GTLK Europe Capital DAC 4.8	GTLK-28	GTLK Europe Capital DAC 4.8	2020-11-23			
corporate_bond	XS2251359084	BCS SP Plc Series 125	BCS1223-6	BCS SP Plc Series 125	2020-11-09			
corporate_bond	XS2252527424	BCS SP Plc Series 2020-30	BCSGM Oil	BCS SP Plc Series 2020-30	2020-11-13			
corporate_bond	XS2252533075	BCS SP Plc Series 2020-31	BCSGM PG5	BCS SP Plc Series 2020-31	2020-11-10			
corporate_bond	XS2260424580	BCS SP Plc Series 2020-32	BCS GMf9	BCS SP Plc Series 2020-32	2020-11-25			
corporate_bond	XS2267886971	BCS SP Plc Series 128	BCS1225-7	BCS SP Plc Series 128	2020-12-04			
corporate_bond	XS2267887946	BCS SP Plc Series 129	BCS1225-8	BCS SP Plc Series 129	2020-12-04			
corporate_bond	XS2267888597	BCS SP Plc Series 131	BCS0324	BCS SP Plc Series 131	2020-12-08			
corporate_bond	XS2269280066	BCS SP Plc Series 2020-35	BCS GMf10	BCS SP Plc Series 2020-35	2020-12-09			
corporate_bond	XS2269286345	BCS SP Plc Series 2020-36	BCS GMf11	BCS SP Plc Series 2020-36	2020-12-09			
corporate_bond	XS2273109871	BCS SP Plc Series 135	BCS0124-2	BCS SP Plc Series 135	2020-12-25			
corporate_bond	XS2276567604	BCS SP Plc Series 137	BCS0424-2	BCS SP Plc Series 137	2020-12-25			
corporate_bond	XS2278534099	DME Airport DAC 080228	DME-28	DME Airport DAC 080228	2021-09-20			
corporate_bond	XS2281299763	CBOM Finance P.L.C. 3.1	CBOM-26 EU	CBOM Finance P.L.C. 3.1	2021-02-01			
corporate_bond	XS2290820518	BCS SP Plc Series 138	BCS0526	BCS SP Plc Series 138	2021-01-28			
corporate_bond	XS2291819980	Gaz Finance Plc 2.95 270129	GAZ-29	Gaz Finance Plc 2.95 270129	2023-06-13			
corporate_bond	XS2291914971	SovCom Capital 2025	SCB-25	SovCom Capital 2025	2021-02-01			
corporate_bond	XS2296660454	BCS SP Plc Series 141	BCS0624-9	BCS SP Plc Series 141	2021-02-10			
corporate_bond	XS2298598462	BCS SP Plc Series 143	BCS0624-A	BCS SP Plc Series 143	2021-02-16			
corporate_bond	XS2301236753	BCS SP Plc Series 144	BCS0624-B	BCS SP Plc Series 144	2021-02-17			
corporate_bond	XS2301292400	Gaz Finance Plc 1.5 170227	GAZ-27 EUR	Gaz Finance Plc 1.5 170227	2023-12-04			
corporate_bond	XS2305047339	BCS SP Plc Series 145	BCS0223-2	BCS SP Plc Series 145	2021-02-20			
corporate_bond	XS2306607271	BCS SP Plc Series 147	BCS0726	BCS SP Plc Series 147	2021-03-03			
corporate_bond	XS2306838595	BCS SP Plc Series 148	BCS0724-2	BCS SP Plc Series 148	2021-03-03			
corporate_bond	XS2307308069	BCS SP Plc Series 149	BCS0426	BCS SP Plc Series 149	2021-03-04			
corporate_bond	XS2307564653	BCS SP Plc Series 150	BCS0524-2	BCS SP Plc Series 150	2021-03-04			
corporate_bond	XS2321534310	BCS SP Plc Series 155	BCS0726-3	BCS SP Plc Series 155	2021-03-26			
corporate_bond	XS2321680998	BCS SP Plc Series 154	BCS0726-2	BCS SP Plc Series 154	2021-03-26			
corporate_bond	XS2325559396	SCF Capital DAC 3.85 260428	SCF-28	SCF Capital DAC 3.85 260428	2021-05-04			
corporate_bond	XS2325565369	BCS SP Plc Series 159	BCS0726-4	BCS SP Plc Series 159	2021-04-02			
corporate_bond	XS2325702459	BCS SP Plc Series 158	BCS0526-2	BCS SP Plc Series 158	2021-04-02			
corporate_bond	XS2328381756	BCS SP Plc Series 160	BCS0726-5	BCS SP Plc Series 160	2021-04-12			
corporate_bond	XS2328978999	BCS SP Plc Series 161	BCS1124-2	BCS SP Plc Series 161	2021-04-12			
corporate_bond	XS2332228449	BCS SP Plc Series 165	BCS1126	BCS SP Plc Series 165	2021-04-19			
corporate_bond	XS2333597859	BCS SP Plc Series 167	BCS0423	BCS SP Plc Series 167	2021-04-26			
corporate_bond	XS2336018374	BCS SP Plc Series 170	BCS0824-2	BCS SP Plc Series 170	2021-04-29			
corporate_bond	XS2337341528	BCS SP Plc Series 172	BCS0924-2	BCS SP Plc Series 172	2021-05-04			
corporate_bond	XS2341010994	BCS SP Plc Series 174	BCS0723-4	BCS SP Plc Series 174	2021-06-22			
corporate_bond	XS2345852821	BCS SP Plc Series 177	BCS1024	BCS SP Plc Series 177	2021-05-26			
corporate_bond	XS2346922755	Steel Funding DAC 020626	STL-26 EUR	Steel Funding DAC 020626	2023-08-09			
corporate_bond	XS2348717658	BCS SP Plc Series 178	BCS0127	BCS SP Plc Series 178	2021-06-07			
corporate_bond	XS2348718383	BCS SP Plc Series 179	BCS1024-2	BCS SP Plc Series 179	2021-06-07			
corporate_bond	XS2353064335	BCS SP Plc Series 182	BCS1124-3	BCS SP Plc Series 182	2021-06-17			
corporate_bond	XS2357422331	BCS SP Plc Series 187	BCS0225	BCS SP Plc Series 187	2021-07-02			
corporate_bond	XS2360268762	BCS SP Plc Series 189	BCS1124-4	BCS SP Plc Series 189	2021-07-06			
corporate_bond	XS2360292556	BCS SP Plc Series 193	BCS1124-5	BCS SP Plc Series 193	2021-07-12			
corporate_bond	XS2360854140	BCS SP Plc Series 190	BCS0723-5	BCS SP Plc Series 190	2021-07-14			
corporate_bond	XS2361751204	BCS SP Plc Series 194	BCS0824	BCS SP Plc Series 194	2021-07-14			
corporate_bond	XS2362683570	BCS SP Plc Series 196	BCS1124-6	BCS SP Plc Series 196	2021-07-16			
corporate_bond	XS2363070850	BCS SP Plc Series 195	BCS1126-2	BCS SP Plc Series 195	2021-07-16			
corporate_bond	XS2363250833	Gaz Finance Plc 3.5 140731	Gaz Financ	Gaz Finance Plc 3.5 140731	2021-08-16			
corporate_bond	XS2369557371	BCS SP Plc Series 198	BCS1126-4	BCS SP Plc Series 198	2021-08-09			
corporate_bond	XS2369574384	BCS SP Plc Series 197	BCS1226	BCS SP Plc Series 197	2021-08-16			
corporate_bond	XS2369925511	BCS SP Plc Series 200	BCS0425	BCS SP Plc Series 200	2021-08-23			
corporate_bond	XS2371857223	BCS SP Plc Series 199	BCS0427	BCS SP Plc Series 199	2021-08-23			
corporate_bond	XS2376055864	BCS SP Plc Series 204	BCS0824-4	BCS SP Plc Series 204	2021-08-17			
corporate_bond	XS2377117697	BCS SP Plc Series 205	BCS1024-3	BCS SP Plc Series 205	2021-08-24			
