exchange_ppif,CASH,CASH ETF Daily rate,CASH ETF,ААА БПИФ Ежедневный процент,2024-11-07,,
corporate_bond,RU000A1080B0,Sber CIB-CO-800,СберСIB800,Сбер CIB-СО-800,2024-11-18,,
corporate_bond,RU000A108HQ8,Sber CIB-CO-835,СберСIB835,Сбер CIB-СО-835,2024-11-21,,
exchange_bond,RU000A109445,VEB.RF PBO-002P-K542,ВЭБ2P-К542,ВЭБ.РФ ПБО-002Р-К542,2024-10-11,,
corporate_bond,RU000A0P1N15,Sber CIB-CO-714,СберСIB714,Сбер CIB-СО-714,2024-10-28,,
exchange_bond,RU000A109S67,SberIOS 001P-653R 5Y AC SBER,СберИОС653,СберИОС 001Р-653R 5Г AC СБЕР,2024-10-30,,
corporate_bond,RU000A109650,SPE AI class A1,СФО АИ А1,СФО АИ класса А1,2024-10-22,,
corporate_bond,RU000A108C41,Investment bonds 06,ИнвОбл06,Инвестиционные облигации 06,2024-11-22,,
exchange_bond,RU000A109UL0,KORYAKENERGO-01,КОРЯКЭН-01,КОРЯКЭНЕРГО-01,2024-10-24,,
exchange_bond,RU000A10A3L4,Sber 002P-SBER48,Сбер Sb48R,Сбербанк ПАО 002Р-SBER48,2024-11-22,,
corporate_bond,RU000A107ZJ7,Sber CIB-CO-773,СберСIB773,Сбер CIB-СО-773,2024-11-11,,
exchange_bond,RU000A10A4C1,ENERGONICA 001P-05,ЭНИКА 1Р05,ЭНЕРГОНИКА 001Р-05,2024-11-21,,
corporate_bond,RU000A109H11,Sber CIB-CO-EQ-001S-08,СберКИБ1P8,Сбер CIB-CO-EQ-001S-08,2024-11-22,,
exchange_bond,RU000A109XV3,VEB.RF PBO-002P-K553,ВЭБ2P-К553,ВЭБ.РФ ПБО-002Р-К553,2024-11-13,,
exchange_bond,RU000A109VK0,VseInstrumenti.ru LLC 001P-03,ВсИнстр1Р3,ВсеИнструменты.ру 001Р-03,2024-10-25,,
corporate_bond,RU000A107ZS8,Sber CIB-CO-781,СберСIB781,Сбер CIB-СО-781,2024-11-19,,
exchange_ppif,AKHT,AKHT ETF Alfa IT Leaders,AKHT ETF,БПИФ Альфа Капитал ИТ Лидеры,2024-11-11,,
corporate_bond,RU000A0NR5Y2,Sber CIB-CO-532,СберСIB532,Сбер CIB-СО-532,2024-11-15,,
exchange_bond,RU000A109XX9,VEB.RF PBO-002P-K555,ВЭБ2P-К555,ВЭБ.РФ ПБО-002Р-К555,2024-11-20,,
exchange_bond,RU000A10A125,Rosneft 004P-03,Роснфт4P3,ПАО НК Роснефть 004P-03,2024-11-11,,
exchange_bond,RU000A1094B1,VEB.RF PBO-002P-K549,ВЭБ2P-К549,ВЭБ.РФ ПБО-002Р-К549,2024-11-01,,
exchange_bond,RU000A109VJ2,VseInstrumenti.ru LLC 001P-02,ВсИнстр1Р2,ВсеИнструменты.ру 001Р-02,2024-10-25,,
corporate_bond,RU000A109H29,Sber CIB-CO-EQ-001S-09,СберКИБ1P9,Сбер CIB-CO-EQ-001S-09,2024-11-25,,
exchange_bond,RU000A109SJ8,OSTROVMASHYN-01,ОСТРОВМ-01,ОСТРОВМАШИН-01,2024-10-15,,
exchange_bond,RU000A109XR1,Acron BO-001P-05,Акрон Б1P5,Акрон (ПАО) БО-001P-05,2024-10-29,,
exchange_bond,RU000A109X03,SberIOS 001P-656R 5Y AC LKOH,СберИОС656,СберИОС 001Р-656R 5Г AC LKOH,2024-11-15,,
exchange_bond,RU000A109XZ4,VEB.RF PBO-002P-K557,ВЭБ2P-К557,ВЭБ.РФ ПБО-002Р-К557,2024-11-27,,
exchange_bond,RU000A10A4N8,INTERLISING 001P-10,ИнтЛиз1Р10,Интерлизинг 001Р-10,2024-11-22,,
corporate_bond,RU000A10A539,Bank DOM.RF SUB-T2-2,ДОМСУБТ2-2,Банк ДОМ.РФ СУБ-T2-2,2024-11-25,,
exchange_bond,RU000A10A158,Gazprom capital BO-003P-08,ГазпКап3P8,Газпром капитал БО-003Р-08,2024-11-11,,
exchange_bond,RU000A109XT7,VEB.RF PBO-002P-K551,ВЭБ2P-К551,ВЭБ.РФ ПБО-002Р-К551,2024-11-08,,
exchange_ppif,AKFB,AKFB ETF floating rate bonds,AKFB ETF,БПИФ Альфа Обл с перем купоном,2024-10-23,,
exchange_bond,RU000A109TR9,SberIOS 001P-654R RUGOLD CS,СберИОС654,СберИОС 001Р-654R RUGOLD КС,2024-10-25,,
exchange_bond,RU000A109XW1,VEB.RF PBO-002P-K554,ВЭБ2P-К554,ВЭБ.РФ ПБО-002Р-К554,2024-11-14,,
corporate_bond,RU000A0P1N07,Sber CIB-CO-713,СберСIB713,Сбер CIB-СО-713,2024-11-01,,
