parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Consumer	KROT	KrasnyiOctyabr	КрасОкт-ао	КрасныйОктябрь ПАО - ао	2014-06-09	
Consumer	KROTP	KrasnyiOctabr-1(pr)	КрасОкт-1п	КрасныйОктябрь-1п	2014-06-09	
Consumer	LNTA	Lenta IPJSC ORD SHS	Лента ао	Лента МКПАО ао	2014-06-09	2022-04-18
Consumer	LENT	Lenta IPJSC ORD SHS	Лента ао	Лента МКПАО ао	2021-12-01	
Consumer	MGNT	Magnit	Магнит ао	Магнит ПАО ао	2013-07-08	
Consumer	MSST	Multisistema	МультиСис	Мультисистема ОАО ао	2014-06-09	2019-07-11
Consumer	MVID	M.video	М.видео	М.видео ПАО ао	2014-06-09	
Consumer	OBUV	OR	ОР ао	ПАО ОР ао	2017-10-09	2021-03-25
Consumer	ODVA	MediaHolding	Медиахолд	Медиахолдинг (ПАО) ао	2014-06-09	2016-12-02
Consumer	OKEY	GDR OKEY Group ORD SHS	OKEY-гдр	ГДР OKEY Group S.A. ORD SHS	2020-12-14	
Consumer	ORUP	PJSC ORG ordinary shares	ПАО ОРГ ао	ПАО ОРГ ао	2021-03-26	2022-02-14
Consumer	OSMP	OMPK	ОМПК ао	Останкинский мясоперерабатывающий комбинат ОАО ао	2014-06-09	2017-12-27
Consumer	PRTK	PROTEK	ПРОТЕК	ПРОТЕК	2014-06-09	2020-12-29
Consumer	RBCM	GK RBK ao	ГК РБК ао	ГК РБК ПАО ао	2014-06-09	
Consumer	ROST	ROSINTER RESTAURANTS ao	РОСИНТЕРао	РОСИНТЕР РЕСТОРАНТС (ПАО)	2014-06-09	
Consumer	RSEA	Russkaya Akvakultura	РусАква ао	Русская Аквакультура ПАО ао	2014-06-09	2015-06-09
Consumer	SIBG	Ice stim Rus	АйсCтим ао	Айс стим Рус ПАО ао	2015-08-05	2019-07-04
Consumer	SVAV	Sollers Avto	СОЛЛЕРС	ПАО СОЛЛЕРС	2014-06-09	
Consumer	SVET	Svetofor Group	Светофор	Светофор Групп ао	2021-01-15	
Consumer	SYNG	Beluga Group	Белуга ао	Белуга Групп ПАО ао	2014-06-09	2017-07-31
Consumer	WUSH	WHOOSH Holding	iВУШХолднг	ВУШ Холдинг ао	2022-12-14	
Consumer	ZHIV	Jivoy office	Живой Оф	Живой офис ОАО ао	2014-06-09	2017-03-01
Electric Utilities	ASSB	Astrakhan Energo Sbyt	АстрЭнСб	Астраханская ЭСК ПАО	2014-06-09	
Electric Utilities	CLSB	ChelyabEnergoSbyt	ЧелябЭС ао	Челябэнергосбыт ПАО	2014-06-09	2019-07-24
Electric Utilities	CLSBP	ChelyabEnergoSbyt-pref	ЧелябЭС ап	Челябэнергосбыт ПАО ап	2014-06-09	2019-07-24
Electric Utilities	DASB	DagEnergoSbyt	ДагСб ао	ао Дагестанская энергосб.комп.	2014-06-09	2020-09-04
Electric Utilities	DVEC	DEC	ДЭК ао	ДЭК ПАО ао	2014-06-09	
Electric Utilities	EONR	E.ON Russia	Э.ОНРоссия	Э.ОН Россия ОАО ао	2014-06-09	2016-06-30
Electric Utilities	ELFV	El5-Ener	ЭЛ5Энер ао	ЭЛ5-Энерго ПАО	2023-03-29	
Electric Utilities	ENRU	PJSC Enel Russia	ПАО Энел Россия	ПАО Энел Россия	2014-12-01	2023-03-28
Electric Utilities	FEES	FGC ROSSETI	Россети	ФСК - Россети ПАО	2014-06-09	
Electric Utilities	HYDR	RusGidro	РусГидро	ПАО РусГидро	2013-03-25	
Electric Utilities	HYDR-041D	RusGidro-041D	РусГидро-041D	ПАО РусГидро-041D	2014-02-25	2014-07-11
Electric Utilities	IRAO	Inter RAO ao	ИнтерРАОао	Интер РАО ПАО ао	2013-07-08	
Electric Utilities	IRGZ	JSC Irkutskenergo	Иркутскэнерго	ПАО Иркутскэнерго	2014-06-09	2023-02-28
Electric Utilities	KBSB	TNS energo Kuban Company	ТНСэКубань	ТНС энерго Кубань ПАО ао	2014-06-09	
Electric Utilities	KCHE	Kamchatskenergo	КамчатЭ ао	Камчатскэнерго ПАО ао	2014-06-09	
Electric Utilities	KCHEP	Kamchatskenergo (pref)	КамчатЭ ап	Камчатскэнерго ПАО ап	2014-06-09	
Electric Utilities	KGKC	Kurganskaja Gener.Kompanija	КурганГКао	Курганская генер.комп.ПАО ао	2014-06-09	
Electric Utilities	KGKCP	Kurganskaja Gener.Kompanija ap	КурганГКап	Курганская генер. комп. ПАО ап	2014-06-09	
Electric Utilities	KISB	Kirov Energo Sbyt	КировЭС ао	Кировэнергосбыт ОАО	2014-06-09	2014-09-26
Electric Utilities	KISBP	Kirov Energo Sbyt pref	КировЭС ап	Кировэнергосбыт ОАО ап	2014-06-09	2014-09-26
Electric Utilities	KLSB	Kalugsk. Sbyt. Company ao	КалужскСК	ао Калужская сбыт.комп.ПАО	2014-06-09	
Electric Utilities	KRSB	Krashojarskenergosbyt	Красэсб ао	Красноярскэнергосбыт ао	2014-06-09	
Electric Utilities	KRSBP	Krashojarskenergosbyt pref.	Красэсб ап	Красноярскэнергосбыт ап	2014-06-09	
Electric Utilities	KRSG	KrasnGES	КраснГЭС	Красноярская ГЭС(ПАО) ао	2014-06-09	2017-06-19
Electric Utilities	KUBE	Rosseti Kuban	РСетКубань	Россети Кубань ПАО	2014-06-09	
Electric Utilities	KZBE	KuzbassEnergo	Кузбасэнрг	Кузбасэнерго(ОАО)-ао	2014-06-09	2016-01-19
Electric Utilities	LPSB	LESK ao	ЛЭСК ао	Липецкая энергосбыт.ком.ОАО ао	2014-06-09	
Electric Utilities	LSNG	Rosseti LenEnrg	РСетиЛЭ	Россети Ленэнерго ПАО-ао	2014-06-09	
Electric Utilities	LSNGP	Rosseti LenEnrg (pref)	РСетиЛЭ-п	Россети Ленэнерго ПАО-ап	2014-06-09	
Electric Utilities	MAGE	Magadanenergo ao	МагадЭн ао	Магаданэнерго ПАО ао	2014-06-09	
Electric Utilities	MAGEP	Magadanenergo ap	МагадЭн ап	Магаданэнерго ПАО ап	2014-06-09	
Electric Utilities	MISB	TNS energo Mariy El ao	ТНСэнМарЭл	ТНС энерго Марий Эл ПАО ао	2014-06-09	
Electric Utilities	MISBP	TNS energo Mariy El (pref)	ТНСэМаЭл-п	ТНС энерго Марий Эл ПАО ап	2014-06-09	
Electric Utilities	MRKC	Rosseti Centr	РоссЦентр	ПАО Россети Центр ао	2013-09-02	
Electric Utilities	MRKH	Rosseti	Россети ао	Российские сети ОАО ао	2013-07-08	2013-10-24
Electric Utilities	MRKK	Rosseti Severnyy Kavkaz ao	Россети СК	Россети Сев. Кавказ ао	2014-06-09	
Electric Utilities	MRKP	Rosseti Centr i Privoljye ao	РСетиЦП ао	Россети Центр и Приволжье ао	2013-09-02	
Electric Utilities	MRKS	Rosseti Sibir	РсетСиб ао	Россети Сибирь ао	2014-06-09	
Electric Utilities	MRKU	MRSK Urala ao	МРСК Ур	МРСК Урала (ОАО) ао	2014-06-09	
Electric Utilities	MRKV	Rosseti Volga	РсетВол ао	Россети Волга ао	2014-06-09	
Electric Utilities	MRKY	Rosseti South ao	РоссЮг ао	Россети Юг (ПАО) ао	2014-06-09	
Electric Utilities	MRKZ	Rosseti Severo-Zapad	РСетиСЗ ао	ПАО Россети Северо-Запад ао	2014-06-09	
Electric Utilities	MRSB	Mordovskaya EnergoSbyt Comp.	МордЭнСб	Мордовск.энергсбыт.комп.ПАО ао	2014-06-09	
Electric Utilities	MSNG	MosEnrg	+МосЭнерго	МосЭнерго акции обыкн.	2013-07-08	
Electric Utilities	MSRS	Rosseti Moscow Region	РСетиМР ао	ПАО Россети Моск.рег. ао	2013-07-08	
Electric Utilities	MSSB	MosEnergoSbyt	МосЭС ао	Мосэнергосбыт ПАО ао	2014-06-09	2015-12-17
Electric Utilities	MUGS	Murmanskaya TEC	МурмТЭЦ-ао	Мурманская ТЭЦ ПАО ао	2014-06-09	2018-12-26
Electric Utilities	MUGSP	Murmanskaya TEC pref	МурмТЭЦ-п	Мурманская ТЭЦ ПАО ап	2014-06-09	2018-12-26
Electric Utilities	NNSB	TNS energo Nizhniy-Novgorod ao	ТНСэнНН ао	ТНС энерго Нижний Новг.ПАО ао	2014-06-09	
Electric Utilities	NNSBP	TNS energo Nizhniy Novg. pref	ТНСэнНН ап	ТНС энерго Нижний Новг.ПАО ап	2014-06-09	
Electric Utilities	NVNG	Novosibirskenergo	Новсибэн	Новосибирскэнерго (ОАО) ао	2014-06-09	2015-12-14
Electric Utilities	NVNGP	Novosibirskenergo pref	Новсибэн-п	Новосибирскэнерго (ОАО) ап	2014-06-09	2015-12-14
Electric Utilities	OGKB	OGK-2	ОГК-2 ао	ОГК-2 ПАО ао	2014-06-09	
Electric Utilities	OGKE	Enel Russia	ЭнелРос ао	Энел Россия ОАО	2013-09-02	2014-11-28
Electric Utilities	PMSB	Perm' EnergoSbyt	ПермьЭнСб	Пермэнергосбыт ПАО ао	2014-06-09	
Electric Utilities	PMSBP	Perm' EnergoSbyt (pref)	ПермьЭнС-п	Пермэнергосбыт ПАО ап	2014-06-09	
Electric Utilities	RSTI	PJSC ROSSETI, ordinary shares	Россети ао	ПАО Россети ао	2014-06-09	2022-12-30
Electric Utilities	RSTIP	PJSC ROSSETI, pref shares	Россети ап	ПАО Россети ап	2014-06-09	2022-12-30
Electric Utilities	RTSB	TNS energo Rostov-na-Dony ao	ТНСэнРст	ТНС энерго Ростов. ПАО ао	2014-06-09	
Electric Utilities	RTSBP	TNS energo Rostov-na-Dony(prf)	ТНСэнРст-п	ТНС энерго Ростов. ПАО ап	2014-06-09	
Electric Utilities	RZSB	JSC Ryazanenergosbyt	РязЭнСб	Рязанская энергосб.комп ПАО	2014-06-09	
Electric Utilities	SAGO	SamaraEnergo ao	СамарЭн-ао	Самараэнерго (ПАО) - ао	2014-06-09	
Electric Utilities	SAGOP	SamaraEnergo(pref)	СамарЭн-ап	Самараэнерго (ПАО) - ап	2014-06-09	
Electric Utilities	SARE	SaratovEnergo ao	СаратЭн-ао	Саратовэнерго(ПАО)-ао	2014-06-09	
Electric Utilities	SAREP	SaratovEnergo (pref)	СаратЭн-ап	Саратовэнерго(ПАО)-ап	2014-06-09	
