date,marketCap,traceName
2024-01-03,2092708436978.44,Chemicals and Pertochemicals
2024-01-03,2092708436978.44,Chemicals and Pertochemicals
2024-01-03,2092708436978.44,Chemicals and Pertochemicals
2024-01-04,2108446473168.1602,Chemicals and Pertochemicals
2024-01-05,2110523778385.8,Chemicals and Pertochemicals
2024-01-08,2121994156715.56,Chemicals and Pertochemicals
2024-01-08,2121994156715.56,Chemicals and Pertochemicals
2024-01-08,2121994156715.56,Chemicals and Pertochemicals
2024-01-09,2123628402662.96,Chemicals and Pertochemicals
2024-01-10,2130100167012.48,Chemicals and Pertochemicals
2024-01-11,2133009929329.6802,Chemicals and Pertochemicals
2024-01-12,2136691274320.12,Chemicals and Pertochemicals
2024-01-15,2138960273749.56,Chemicals and Pertochemicals
2024-01-15,2138960273749.56,Chemicals and Pertochemicals
2024-01-15,2138960273749.56,Chemicals and Pertochemicals
2024-01-16,2136212510987.68,Chemicals and Pertochemicals
2024-01-17,2146684812099.32,Chemicals and Pertochemicals
2024-01-18,2148384510313.36,Chemicals and Pertochemicals
2024-01-19,2137065405151.72,Chemicals and Pertochemicals
2024-01-22,2142014394655.44,Chemicals and Pertochemicals
2024-01-22,2142014394655.44,Chemicals and Pertochemicals
2024-01-22,2142014394655.44,Chemicals and Pertochemicals
2024-01-23,2141451766157.4,Chemicals and Pertochemicals
2024-01-24,2135059844588.08,Chemicals and Pertochemicals
2024-01-25,2129030181815.1602,Chemicals and Pertochemicals
2024-01-26,2123384178331.72,Chemicals and Pertochemicals
2024-01-29,2121647387292.28,Chemicals and Pertochemicals
2024-01-29,2121647387292.28,Chemicals and Pertochemicals
2024-01-29,2121647387292.28,Chemicals and Pertochemicals
2024-01-30,2137821002295.36,Chemicals and Pertochemicals
2024-01-31,2144313066137.08,Chemicals and Pertochemicals
2024-02-01,2134907226148.48,Chemicals and Pertochemicals
2024-02-02,2124959841951.04,Chemicals and Pertochemicals
2024-02-05,2127323146866.0,Chemicals and Pertochemicals
2024-02-05,2127323146866.0,Chemicals and Pertochemicals
2024-02-05,2127323146866.0,Chemicals and Pertochemicals
2024-02-06,2131367000535.3198,Chemicals and Pertochemicals
2024-02-07,2127621550423.76,Chemicals and Pertochemicals
2024-02-08,2116607405090.88,Chemicals and Pertochemicals
2024-02-09,2109928116994.6401,Chemicals and Pertochemicals
2024-02-12,2108482262581.88,Chemicals and Pertochemicals
2024-02-12,2108482262581.88,Chemicals and Pertochemicals
2024-02-12,2108482262581.88,Chemicals and Pertochemicals
2024-02-13,2130939276903.3599,Chemicals and Pertochemicals
2024-02-14,2138522844404.8,Chemicals and Pertochemicals
2024-02-15,2124656325557.24,Chemicals and Pertochemicals
2024-02-16,2124599058294.08,Chemicals and Pertochemicals
2024-02-19,2116269074947.0,Chemicals and Pertochemicals
2024-02-19,2116269074947.0,Chemicals and Pertochemicals
2024-02-19,2116269074947.0,Chemicals and Pertochemicals
2024-02-20,2096590951398.8801,Chemicals and Pertochemicals
2024-02-21,2065423071574.1602,Chemicals and Pertochemicals
2024-02-22,2068348929756.24,Chemicals and Pertochemicals
2024-02-26,2099493080414.72,Chemicals and Pertochemicals
2024-02-26,2099493080414.72,Chemicals and Pertochemicals
2024-02-26,2099493080414.72,Chemicals and Pertochemicals
2024-02-26,2099493080414.72,Chemicals and Pertochemicals
2024-02-27,2092272110457.4,Chemicals and Pertochemicals
2024-02-28,2086845605777.8,Chemicals and Pertochemicals
2024-02-29,2086976622318.1602,Chemicals and Pertochemicals
2024-03-01,2098678071622.84,Chemicals and Pertochemicals
2024-03-04,2113820842200.96,Chemicals and Pertochemicals
2024-03-04,2113820842200.96,Chemicals and Pertochemicals
2024-03-04,2113820842200.96,Chemicals and Pertochemicals
2024-03-05,2110992416411.64,Chemicals and Pertochemicals
2024-03-06,2107984926810.88,Chemicals and Pertochemicals
2024-03-07,2115119875749,Chemicals and Pertochemicals
2024-03-11,2118004391815.16,Chemicals and Pertochemicals
2024-03-11,2118004391815.16,Chemicals and Pertochemicals
2024-03-11,2118004391815.16,Chemicals and Pertochemicals
2024-03-11,2118004391815.16,Chemicals and Pertochemicals
2024-03-12,2113627763140.04,Chemicals and Pertochemicals
2024-03-13,2115880911068.04,Chemicals and Pertochemicals
