date,marketCap,traceName
2017-01-03,1227774159457.77,Chemicals and Pertochemicals
2017-01-03,1227774159457.77,Chemicals and Pertochemicals
2017-01-03,1227774159457.77,Chemicals and Pertochemicals
2017-01-04,1226240293911.8901,Chemicals and Pertochemicals
2017-01-05,1223971988137.45,Chemicals and Pertochemicals
2017-01-06,1213694545649.1099,Chemicals and Pertochemicals
2017-01-09,1217968769189.54,Chemicals and Pertochemicals
2017-01-09,1217968769189.54,Chemicals and Pertochemicals
2017-01-09,1217968769189.54,Chemicals and Pertochemicals
2017-01-10,1225199912794.5,Chemicals and Pertochemicals
2017-01-11,1236672547006.81,Chemicals and Pertochemicals
2017-01-12,1248833475078.3699,Chemicals and Pertochemicals
2017-01-13,1245533197507.73,Chemicals and Pertochemicals
2017-01-16,1247884821083.6802,Chemicals and Pertochemicals
2017-01-16,1247884821083.6802,Chemicals and Pertochemicals
2017-01-16,1247884821083.6802,Chemicals and Pertochemicals
2017-01-17,1244233927653.58,Chemicals and Pertochemicals
2017-01-18,1245288526028.44,Chemicals and Pertochemicals
2017-01-19,1245638711769.06,Chemicals and Pertochemicals
2017-01-20,1247725369158.21,Chemicals and Pertochemicals
2017-01-23,1248049756094.08,Chemicals and Pertochemicals
2017-01-23,1248049756094.08,Chemicals and Pertochemicals
2017-01-23,1248049756094.08,Chemicals and Pertochemicals
2017-01-24,1236409358155.32,Chemicals and Pertochemicals
2017-01-25,1242623935220.4702,Chemicals and Pertochemicals
2017-01-26,1253545328105.51,Chemicals and Pertochemicals
2017-01-27,1266692066768.77,Chemicals and Pertochemicals
2017-01-30,1273951972705.02,Chemicals and Pertochemicals
2017-01-30,1273951972705.02,Chemicals and Pertochemicals
2017-01-30,1273951972705.02,Chemicals and Pertochemicals
2017-01-31,1280036559821.98,Chemicals and Pertochemicals
2017-02-01,1272613665310.24,Chemicals and Pertochemicals
2017-02-02,1272193739371.73,Chemicals and Pertochemicals
2017-02-03,1265814676678.7,Chemicals and Pertochemicals
2017-02-06,1257831422431.69,Chemicals and Pertochemicals
2017-02-06,1257831422431.69,Chemicals and Pertochemicals
2017-02-06,1257831422431.69,Chemicals and Pertochemicals
2017-02-07,1257174723531.73,Chemicals and Pertochemicals
2017-02-08,1251173124642.7998,Chemicals and Pertochemicals
2017-02-09,1231995166727.85,Chemicals and Pertochemicals
2017-02-10,1231764762788.1602,Chemicals and Pertochemicals
2017-02-13,1224687627685.31,Chemicals and Pertochemicals
2017-02-13,1224687627685.31,Chemicals and Pertochemicals
2017-02-13,1224687627685.31,Chemicals and Pertochemicals
2017-02-14,1215020390629.7402,Chemicals and Pertochemicals
2017-02-15,1215589188525.41,Chemicals and Pertochemicals
2017-02-16,1216985767387.61,Chemicals and Pertochemicals
2017-02-17,1220793124880.95,Chemicals and Pertochemicals
2017-02-20,1222820737936.06,Chemicals and Pertochemicals
2017-02-20,1222820737936.06,Chemicals and Pertochemicals
2017-02-20,1222820737936.06,Chemicals and Pertochemicals
2017-02-21,1219344876019.8599,Chemicals and Pertochemicals
2017-02-22,1222021237015.94,Chemicals and Pertochemicals
2017-02-24,1213288692302.12,Chemicals and Pertochemicals
2017-02-24,1213288692302.12,Chemicals and Pertochemicals
2017-02-27,1212934728626.7,Chemicals and Pertochemicals
2017-02-27,1212934728626.7,Chemicals and Pertochemicals
2017-02-27,1212934728626.7,Chemicals and Pertochemicals
2017-02-28,1198158513968.78,Chemicals and Pertochemicals
2017-03-01,1206236439734.99,Chemicals and Pertochemicals
2017-03-02,1208019600537.85,Chemicals and Pertochemicals
2017-03-03,1201142699623.71,Chemicals and Pertochemicals
2017-03-06,1197100048849.27,Chemicals and Pertochemicals
2017-03-06,1197100048849.27,Chemicals and Pertochemicals
2017-03-06,1197100048849.27,Chemicals and Pertochemicals
2017-03-07,1199231460873.6,Chemicals and Pertochemicals
2017-03-09,1178927113811.05,Chemicals and Pertochemicals
2017-03-09,1178927113811.05,Chemicals and Pertochemicals
2017-03-10,1174994372085.04,Chemicals and Pertochemicals
2017-03-13,1179161624515.72,Chemicals and Pertochemicals
2017-03-13,1179161624515.72,Chemicals and Pertochemicals
2017-03-13,1179161624515.72,Chemicals and Pertochemicals
2017-03-14,1186334157419.78,Chemicals and Pertochemicals
2017-03-15,1188917052912.52,Chemicals and Pertochemicals
2017-03-16,1188543422348.35,Chemicals and Pertochemicals
2017-03-17,1192797154129.38,Chemicals and Pertochemicals
2017-03-20,1192800744045.57,Chemicals and Pertochemicals
2017-03-20,1192800744045.57,Chemicals and Pertochemicals
2017-03-20,1192800744045.57,Chemicals and Pertochemicals
2017-03-21,1195489594570.85,Chemicals and Pertochemicals
2017-03-22,1189829155195.5898,Chemicals and Pertochemicals
2017-03-23,1198552562989.6,Chemicals and Pertochemicals
2017-03-24,1190562403322.91,Chemicals and Pertochemicals
2017-03-27,1180251620553.02,Chemicals and Pertochemicals
2017-03-27,1180251620553.02,Chemicals and Pertochemicals
2017-03-27,1180251620553.02,Chemicals and Pertochemicals
2017-03-28,1173418422686.04,Chemicals and Pertochemicals
2017-03-29,1184022751297.4102,Chemicals and Pertochemicals
2017-03-30,1174059290992.56,Chemicals and Pertochemicals
2017-03-31,1170720561511.71,Chemicals and Pertochemicals
2017-04-03,1166181775871.52,Chemicals and Pertochemicals
2017-04-03,1166181775871.52,Chemicals and Pertochemicals
2017-04-03,1166181775871.52,Chemicals and Pertochemicals
2017-04-04,1171751643260.35,Chemicals and Pertochemicals
2017-04-05,1184549272487.81,Chemicals and Pertochemicals
2017-04-06,1187150803990.15,Chemicals and Pertochemicals
2017-04-07,1184543976477.4,Chemicals and Pertochemicals
2017-04-10,1171517387809.43,Chemicals and Pertochemicals
2017-04-10,1171517387809.43,Chemicals and Pertochemicals
2017-04-10,1171517387809.43,Chemicals and Pertochemicals
2017-04-11,1174500849030.29,Chemicals and Pertochemicals
2017-04-12,1176488541816.0,Chemicals and Pertochemicals
2017-04-13,1164468621243.67,Chemicals and Pertochemicals
2017-04-14,1164980080356.42,Chemicals and Pertochemicals
2017-04-17,1163619854898.1401,Chemicals and Pertochemicals
2017-04-17,1163619854898.1401,Chemicals and Pertochemicals
2017-04-17,1163619854898.1401,Chemicals and Pertochemicals
2017-04-18,1159824929447.04,Chemicals and Pertochemicals
2017-04-19,1146767371449.0,Chemicals and Pertochemicals
2017-04-20,1132506623087.21,Chemicals and Pertochemicals
2017-04-21,1125586278085.01,Chemicals and Pertochemicals
2017-04-24,1126848409110.6802,Chemicals and Pertochemicals
2017-04-24,1126848409110.6802,Chemicals and Pertochemicals
2017-04-24,1126848409110.6802,Chemicals and Pertochemicals
2017-04-25,1127309481685.35,Chemicals and Pertochemicals
2017-04-26,1132938339612.3599,Chemicals and Pertochemicals
2017-04-27,1135593918351.47,Chemicals and Pertochemicals
2017-04-28,1142616735389.85,Chemicals and Pertochemicals
2017-05-02,1145415405549.5898,Chemicals and Pertochemicals
2017-05-02,1145415405549.5898,Chemicals and Pertochemicals
2017-05-02,1145415405549.5898,Chemicals and Pertochemicals
2017-05-02,1145415405549.5898,Chemicals and Pertochemicals
2017-05-03,1131548628013.16,Chemicals and Pertochemicals
2017-05-04,1142757398580.73,Chemicals and Pertochemicals
2017-05-05,1159827557967.0,Chemicals and Pertochemicals
2017-05-10,1162193814450.3398,Chemicals and Pertochemicals
2017-05-10,1162193814450.3398,Chemicals and Pertochemicals
2017-05-10,1162193814450.3398,Chemicals and Pertochemicals
2017-05-10,1162193814450.3398,Chemicals and Pertochemicals
2017-05-10,1162193814450.3398,Chemicals and Pertochemicals
2017-05-11,1145585903534.38,Chemicals and Pertochemicals
2017-05-12,1135167331445.48,Chemicals and Pertochemicals
2017-05-15,1119720343814.23,Chemicals and Pertochemicals
2017-05-15,1119720343814.23,Chemicals and Pertochemicals
2017-05-15,1119720343814.23,Chemicals and Pertochemicals
2017-05-16,1121210314626.85,Chemicals and Pertochemicals
2017-05-17,1119702922296.08,Chemicals and Pertochemicals
2017-05-18,1113996178597.69,Chemicals and Pertochemicals
2017-05-19,1120892138054.9102,Chemicals and Pertochemicals
2017-05-22,1100072208197.15,Chemicals and Pertochemicals
2017-05-22,1100072208197.15,Chemicals and Pertochemicals
2017-05-22,1100072208197.15,Chemicals and Pertochemicals
2017-05-23,1104521583694.53,Chemicals and Pertochemicals
2017-05-24,1104309788700.69,Chemicals and Pertochemicals
2017-05-25,1103586306370.8198,Chemicals and Pertochemicals
2017-05-26,1102210817223.41,Chemicals and Pertochemicals
2017-05-29,1096428304020.98,Chemicals and Pertochemicals
2017-05-29,1096428304020.98,Chemicals and Pertochemicals
2017-05-29,1096428304020.98,Chemicals and Pertochemicals
2017-05-30,1089625898080.76,Chemicals and Pertochemicals
2017-05-31,1077037726147.49,Chemicals and Pertochemicals
2017-06-01,1062859552278.01,Chemicals and Pertochemicals
2017-06-02,1049970115136.35,Chemicals and Pertochemicals
2017-06-05,1046893412656.81,Chemicals and Pertochemicals
2017-06-05,1046893412656.81,Chemicals and Pertochemicals
2017-06-05,1046893412656.81,Chemicals and Pertochemicals
2017-06-06,1042132847695.72,Chemicals and Pertochemicals
2017-06-07,1048322189165.68,Chemicals and Pertochemicals
2017-06-08,1044489852686.7699,Chemicals and Pertochemicals
2017-06-09,1040558185648.75,Chemicals and Pertochemicals
2017-06-13,1035886588002.94,Chemicals and Pertochemicals
2017-06-13,1035886588002.94,Chemicals and Pertochemicals
2017-06-13,1035886588002.94,Chemicals and Pertochemicals
2017-06-13,1035886588002.94,Chemicals and Pertochemicals
2017-06-14,1026556376634.39,Chemicals and Pertochemicals
2017-06-15,1009477759702.06,Chemicals and Pertochemicals
2017-06-16,1019080727916.2201,Chemicals and Pertochemicals
2017-06-19,1026526763325.87,Chemicals and Pertochemicals
2017-06-19,1026526763325.87,Chemicals and Pertochemicals
2017-06-19,1026526763325.87,Chemicals and Pertochemicals
2017-06-20,1031605013775.17,Chemicals and Pertochemicals
2017-06-21,1033517265004.1401,Chemicals and Pertochemicals
2017-06-22,1025242088719.1001,Chemicals and Pertochemicals
2017-06-23,1047207704698.89,Chemicals and Pertochemicals
2017-06-26,1038328150028.71,Chemicals and Pertochemicals
2017-06-26,1038328150028.71,Chemicals and Pertochemicals
2017-06-26,1038328150028.71,Chemicals and Pertochemicals
2017-06-27,1031285990916.06,Chemicals and Pertochemicals
2017-06-28,1033440375196.43,Chemicals and Pertochemicals
2017-06-29,1035222232758.3699,Chemicals and Pertochemicals
2017-06-30,1033844999913.97,Chemicals and Pertochemicals
2017-07-03,1023447815460.69,Chemicals and Pertochemicals
2017-07-03,1023447815460.69,Chemicals and Pertochemicals
