parents	labels	shortname	shortname_rus	name_rus	history_from	history_till
Electric Utilities	ASSB	Astrakhan Energo Sbyt	АстрЭнСб	Астраханская ЭСК ПАО	2014-06-09	
Electric Utilities	DVEC	DEC	ДЭК ао	ДЭК ПАО ао	2014-06-09	
Electric Utilities	ELFV	El5-Ener	ЭЛ5Энер ао	ЭЛ5-Энерго ПАО	2023-03-29	
Electric Utilities	ENRU	PJSC Enel Russia	ПАО Энел Россия	ПАО Энел Россия	2014-12-01	2023-03-28
Electric Utilities	FEES	FGC ROSSETI	Россети	ФСК - Россети ПАО	2014-06-09	
Electric Utilities	HYDR	RusGidro	РусГидро	ПАО РусГидро	2013-03-25	
Electric Utilities	IRAO	Inter RAO ao	ИнтерРАОао	Интер РАО ПАО ао	2013-07-08	
Electric Utilities	IRGZ	JSC Irkutskenergo	Иркутскэнерго	ПАО Иркутскэнерго	2014-06-09	2023-02-28
Electric Utilities	KBSB	TNS energo Kuban Company	ТНСэКубань	ТНС энерго Кубань ПАО ао	2014-06-09	
Electric Utilities	KCHE	Kamchatskenergo	КамчатЭ ао	Камчатскэнерго ПАО ао	2014-06-09	
Electric Utilities	KCHEP	Kamchatskenergo (pref)	КамчатЭ ап	Камчатскэнерго ПАО ап	2014-06-09	
Electric Utilities	KGKC	Kurganskaja Gener.Kompanija	КурганГКао	Курганская генер.комп.ПАО ао	2014-06-09	
Electric Utilities	KGKCP	Kurganskaja Gener.Kompanija ap	КурганГКап	Курганская генер. комп. ПАО ап	2014-06-09	
Electric Utilities	KLSB	Kalugsk. Sbyt. Company ao	КалужскСК	ао Калужская сбыт.комп.ПАО	2014-06-09	
Electric Utilities	KRSB	Krashojarskenergosbyt	Красэсб ао	Красноярскэнергосбыт ао	2014-06-09	
Electric Utilities	KRSBP	Krashojarskenergosbyt pref.	Красэсб ап	Красноярскэнергосбыт ап	2014-06-09	
Electric Utilities	KUBE	Rosseti Kuban	РСетКубань	Россети Кубань ПАО	2014-06-09	
Electric Utilities	LPSB	LESK ao	ЛЭСК ао	Липецкая энергосбыт.ком.ОАО ао	2014-06-09	
Electric Utilities	LSNG	Rosseti LenEnrg	РСетиЛЭ	Россети Ленэнерго ПАО-ао	2014-06-09	
Electric Utilities	LSNGP	Rosseti LenEnrg (pref)	РСетиЛЭ-п	Россети Ленэнерго ПАО-ап	2014-06-09	
Electric Utilities	MAGE	Magadanenergo ao	МагадЭн ао	Магаданэнерго ПАО ао	2014-06-09	
Electric Utilities	MAGEP	Magadanenergo ap	МагадЭн ап	Магаданэнерго ПАО ап	2014-06-09	
Electric Utilities	MISB	TNS energo Mariy El ao	ТНСэнМарЭл	ТНС энерго Марий Эл ПАО ао	2014-06-09	
Electric Utilities	MISBP	TNS energo Mariy El (pref)	ТНСэМаЭл-п	ТНС энерго Марий Эл ПАО ап	2014-06-09	
Electric Utilities	MRKC	Rosseti Centr	РоссЦентр	ПАО Россети Центр ао	2013-09-02	
Electric Utilities	MRKK	Rosseti Severnyy Kavkaz ao	Россети СК	Россети Сев. Кавказ ао	2014-06-09	
Electric Utilities	MRKP	Rosseti Centr i Privoljye ao	РСетиЦП ао	Россети Центр и Приволжье ао	2013-09-02	
Electric Utilities	MRKS	Rosseti Sibir	РсетСиб ао	Россети Сибирь ао	2014-06-09	
Electric Utilities	MRKU	MRSK Urala ao	МРСК Ур	МРСК Урала (ОАО) ао	2014-06-09	
Electric Utilities	MRKV	Rosseti Volga	РсетВол ао	Россети Волга ао	2014-06-09	
Electric Utilities	MRKY	Rosseti South ao	РоссЮг ао	Россети Юг (ПАО) ао	2014-06-09	
Electric Utilities	MRKZ	Rosseti Severo-Zapad	РСетиСЗ ао	ПАО Россети Северо-Запад ао	2014-06-09	
Electric Utilities	MRSB	Mordovskaya EnergoSbyt Comp.	МордЭнСб	Мордовск.энергсбыт.комп.ПАО ао	2014-06-09	
Electric Utilities	MSNG	MosEnrg	+МосЭнерго	МосЭнерго акции обыкн.	2013-07-08	
Electric Utilities	MSRS	Rosseti Moscow Region	РСетиМР ао	ПАО Россети Моск.рег. ао	2013-07-08	
Electric Utilities	NNSB	TNS energo Nizhniy-Novgorod ao	ТНСэнНН ао	ТНС энерго Нижний Новг.ПАО ао	2014-06-09	
